region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.7905499461176982,0.7931818527940943,0.6916836564360582,0.6892250274969689,0.7109350839012512,0.7685897427223144,0.7426050439289821,0.7511407777093292,0.7397662411613928,0.7543274554628052,0.7584098761622412,0.7644704345736926,0.7505539180155488,0.7045340249143547,0.6871860699932856,0.6652421987777026,0.6605024311595646,0.6707008989998509,0.6875205928179747,0.675661947198678,0.6696098562628336,0.6818557927353166,0.6814680863947262,0.678695741593573,0.6789696036591909,0.6632392367564617,0.6627090573185184,0.6692656958103664,0.6652021960722634,0.6771790808617792,0.7061660522602939,0.04247035921903273
AT2,0.05763644429171051,0.06200054753773825,0.1390179530201473,0.12691148929460133,0.1152799706212921,0.07862309307114661,0.10621947834743287,0.13195263099465174,0.1459741464534001,0.12774465316588673,0.12462501254217924,0.10071127434058229,0.10991957408704571,0.13034556309308828,0.12785002600070008,0.14518851272575056,0.13524995595873943,0.12186870383475276,0.11022951784359446,0.12855303096324516,0.14503764544832307,0.1329043979980054,0.13367181096502542,0.13056197111878634,0.14240679056070607,0.18557160064096592,0.19256311612118907,0.16157833660480964,0.16923820999613345,0.16337681042575017,0.12942707560224598,0.030339900584663765
AT3,0.15181360959059131,0.14481759966816748,0.1692983905437944,0.18386348320842985,0.1737849454774569,0.15278716420653896,0.15117547772358508,0.11690659129601899,0.1142596123852071,0.11792789137130796,0.11696511129557965,0.13481829108572516,0.13952650789740548,0.16512041199255706,0.1849639040060144,0.1895692884965469,0.20424761288169577,0.2074303971653963,0.20224988933843083,0.19578502183807686,0.18535249828884326,0.18523980926667802,0.1848601026402484,0.19074228728764064,0.17862360578010295,0.15118916260257237,0.1447278265602925,0.16915596758482399,0.16555959393160308,0.15944410871247064,0.16440687213746008,0.027372190211277125
BE2,0.21508526392581187,0.18145889306759455,0.175053278710962,0.22033267520108712,0.21360857335917663,0.21949822033841435,0.22437416482087405,0.2327044025157233,0.19753086419753085,0.22043010752688172,0.27868852459016397,0.2946428571428571,0.27488151658767773,0.29959514170040485,0.28461538461538466,0.2764227642276423,0.23529411764705882,0.2191235059760956,0.19211822660098524,0.05154639175257732,,,0.326710194863623,,,0.05336459330233941,0.043035359113407626,0.05849308610561683,0.05491585473870681,0.06569697054587668,0.1965084974297875,0.08778079071430377
BE3,0.784914736074188,0.8185411069324054,0.824946721289038,0.7796673247989129,0.7863914266408234,0.7805017796615856,0.7756258351791259,0.7672955974842768,0.8024691358024693,0.7795698924731184,0.7213114754098361,0.7053571428571428,0.7251184834123223,0.7004048582995951,0.7153846153846154,0.7235772357723577,0.7647058823529412,0.7808764940239044,0.8078817733990147,0.9484536082474226,,,0.6732898051363769,,,0.9466354066976606,0.9569646408865923,0.9415069138943831,0.9450841452612931,0.9343030294541232,0.8034915025702125,0.08778079071430375
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,0.114932549568801,0.09466202902311732,0.07569712157993377,0.04860099577263689,0.0490918459691251,0.05729940389692022,0.057983811967522884,0.05399978665814079,0.06442872495633944,0.06411833899368471,0.05871836808582057,0.06059821867442907,0.05749425274020013,0.057784673470369904,0.05337452950189317,0.05458396095201695,0.056791655239624185,0.04923444281978856,0.05507565565403033,0.054649522371543635,0.0500182566079353,0.053513375969866515,0.05051631119703451,0.04546047550854841,0.04283476177609756,0.04063693227596288,0.040616592189512975,0.04270324680298429,0.047012638325691226,0.05395989242711772,0.056879745699223,0.015272669142534825
DE2,0.1980875771023848,0.169858905178012,0.14910873678291112,0.11747906093128213,0.11029624557582832,0.14737576977469055,0.13575881314263136,0.12290241052006148,0.13396818102104913,0.1423563547657659,0.13242343262869158,0.13589191817181237,0.1322738743687443,0.13295721236891858,0.11181107853813604,0.11944254984794297,0.11561657798312434,0.11483839348247357,0.12070415411199127,0.11572855684538359,0.10432796156825548,0.09998914847451054,0.09991361236386442,0.09286608884783197,0.09211694832369673,0.08586691718875464,0.08681521151537855,0.09649098844973623,0.10230570789877498,0.11332347891279711,0.12109652888951453,0.024770475074153767
DE4,0.04380212159435699,0.06262833590764655,0.11385577023179637,0.16415018439461612,0.18836520419116173,0.11158581832571493,0.11553476518008944,0.12851397267704034,0.12265754660088551,0.12925984297131118,0.11186790907284644,0.10113462925909485,0.09777732272462421,0.10515161722299478,0.10071930044081094,0.10153330252904592,0.10100605831878262,0.09368395257780737,0.10051559780953817,0.0995450543184892,0.10261668850038022,0.1036673509155556,0.10850424545475339,0.09715887052398516,0.10423129569955394,0.10838747492705064,0.10730712692383085,0.10459216953028085,0.10599550102530023,0.08686917798926354,0.10742060692795362,0.025097244614271246
DE7,0.08178684205460385,0.06463370713349913,0.05380228228737087,0.04113991687788991,0.037007458605243994,0.046365940049989465,0.04973278330967901,0.04489249725583084,0.043566888136926545,0.040721966360882725,0.04430493324188135,0.043178294777556414,0.040208883851856086,0.042645238916524615,0.041989128538442125,0.04197569727561365,0.042903304545120556,0.042217076764980065,0.04404570912753298,0.04452114572704825,0.04469871784655564,0.04790103760555422,0.04703613495220153,0.04302472428127785,0.04476509424358366,0.04260057632533306,0.04514606074312215,0.043343795957234005,0.043782439967904076,0.03122600324174207,0.04550547600009935,0.00873382764893152
