region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ES11,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
ES12,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
ES13,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
ES21,,,,,,,4.415790868144485e-05,4.3855802122620826e-05,4.261666311527808e-05,4.229223937407486e-05,,,,,,,,,,,,,,,,,,,,,4.3230653323354656e-05,9.143701358763741e-07
ES22,,,,,,,0.0010597898083546764,0.0011841066573107623,0.0011932665672277861,0.0012264749418481708,,,,,,,,,,,,,,,,,,,,,0.001165909493685349,7.305045599369613e-05
ES23,,,,,,,0.0011039477170361213,0.0010525392509428998,0.001150649904112508,0.001184182702474096,,,,,,,,,,,,,,,,,,,,,0.0011228298936414062,5.725798686237305e-05
ES24,,,,,,,0.024507639318201893,0.025874923252346287,0.026294481142126576,0.023979699725100445,,,,,,,,,,,,,,,,,,,,,0.0251641858594438,0.001097994509851656
ES30,,,,,,,0.010244634814095205,0.010262257696693273,0.009460899211591734,0.009177415944174244,,,,,,,,,,,,,,,,,,,,,0.009786301916638615,0.0005517342347465555
ES41,,,,,,,0.004062527598692927,0.003947022191035874,0.0038354996803750267,0.003806301543666737,,,,,,,,,,,,,,,,,,,,,0.003912837753442641,0.00011677152490204568
ES42,,,,,,,0.1230680914951868,0.12713797035347776,0.13036437246963561,0.13135969549587653,,,,,,,,,,,,,,,,,,,,,0.12798253245354418,0.0037391356911635415
ES43,,,,,,,0.1110571403338338,0.11042890974475925,0.10739399105050075,0.10670331994079087,,,,,,,,,,,,,,,,,,,,,0.10889584026747118,0.002166734597843218
ES51,,,,,,,0.052371279696193596,0.05372335760021051,0.05348391220967399,0.05417635863818989,,,,,,,,,,,,,,,,,,,,,0.053438727036067,0.0007673765833043855
ES52,,,,,,,0.04583590921133976,0.04161915621436717,0.04086937992755168,0.041023472192852614,,,,,,,,,,,,,,,,,,,,,0.04233697938652781,0.002354918919005696
ES53,,,,,,,0.003709264329241368,0.0035961757740549075,0.003494566375452802,0.0034679636286741376,,,,,,,,,,,,,,,,,,,,,0.003566992526855804,0.00010976520054681325
ES61,,,,,,,0.6150755100238453,0.6130164020699939,0.614404432132964,0.6151829139352928,,,,,,,,,,,,,,,,,,,,,0.614419814540524,0.0009970055890927093
ES62,,,,,,,0.007860107745297183,0.008113323392684852,0.008011932665672279,0.008669909071685345,,,,,,,,,,,,,,,,,,,,,0.008163818218834915,0.0003530755121324776
FI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
FR10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
FRB0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
FRC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
FRC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
FRD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
FRD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
FRE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
FRE2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
FRF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
FRF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
