region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.686913648553542,0.6850797321831031,0.6754238126833444,0.6803634583573505,0.6862706341781634,0.694389203811569,0.6765739498765609,0.6834350729585195,0.6858882064908339,0.6852451504075656,0.6825335761519796,0.6806053347563004,0.6748815851607219,0.6665408309855752,0.6723853107957254,0.6731462353425742,0.6636765774249743,0.6791975136260608,0.6825150563907796,0.6768222564488781,0.6401267007414874,0.6379271328354832,0.6462763958818667,0.6649792589467763,0.6450955593029792,0.6340094985055278,0.6310013509281793,0.6323607370183997,0.6474574503179793,0.666379683173959,0.6679166971412254,0.019136934746133274
AT2,0.09066122009199705,0.09065705536249195,0.08099115820366053,0.08029703804187417,0.07951295477201399,0.07962797312651403,0.08332933641723189,0.08229365861024145,0.08340207227573368,0.08382286036796566,0.0858123779997913,0.0873042796940235,0.08960020034116012,0.09163142555740096,0.09146685595910006,0.09076609940042087,0.08910890348311111,0.08918693900697032,0.09036933545831599,0.092125197845664,0.0866748254265352,0.08667119257750622,0.08694671977154883,0.08352668213457076,0.10342889263631252,0.11602359871384559,0.11247202484527269,0.10975736746766297,0.10669113763436938,0.10016197606090244,0.09081071197614031,0.009833429149713184
AT3,0.22242513135446088,0.22426321245440484,0.24358502911299504,0.23933950360077527,0.23421641104982263,0.2259828230619171,0.24009671370620722,0.2342712684312389,0.23070972123343256,0.2309319892244687,0.23165404584822893,0.23209038554967615,0.23551821449811797,0.24182774345702393,0.23614783324517466,0.2360876652570048,0.2472145190919147,0.23161554736696896,0.2271156081509046,0.2310525457054579,0.27319847383197754,0.2754016745870106,0.26677688434658453,0.25149405891865284,0.25147554806070826,0.24996690278062653,0.256526624226548,0.25788189551393736,0.24585141204765118,0.23345834076513863,0.24127259088263434,0.013911306772725942
BE2,,,,,,,,,,,,,,,,,,,,,,,,,0.25716498838109997,0.2711997149706564,0.23991780815859257,0.21778415357612668,0.2140726989269909,0.2054496968000978,0.2342648434689274,0.026192387816774628
BE3,,,,,,,,,,,,,,,,,,,,,,,,,0.7428350116189001,0.7288002850293436,0.7600821918414075,0.7822158464238733,0.7859273010730091,0.7945503031999023,0.7657351565310727,0.02619238781677464
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,0.052114730948324785,0.05199690540179139,0.05446513163127846,0.0626277140527033,0.056697399076745224,0.05781587760837128,0.055864276057126454,0.05082584120247128,0.049179164371574643,0.047467693971806765,,,,,,,,,,,0.05390547343221937,0.004514547387781304
DE2,,,,,,,,,,,0.13023722569935206,0.13161113677135872,0.13733998609336673,0.14717214312447308,0.13994434214365206,0.14256012724576334,0.13799587671585098,0.12821563287205645,0.12586840194907217,0.12442276552498024,,,,,,,,,,,0.13453676381399257,0.007583081083519422
DE4,,,,,,,,,,,0.20780644768040363,0.20569260426478522,0.1972839343650993,0.1833656502085068,0.1935072107369964,0.18990009605530817,0.19666434589378481,0.2106225191855922,0.21388150585167298,0.215995696625853,,,,,,,,,,,0.20147200108680025,0.010916066099268927
DE7,,,,,,,,,,,0.039210159393671645,0.03927048673015127,0.040375410557024045,0.04339854381406234,0.0411748145356793,0.04172746249501699,0.040865077644218116,0.03867939780038996,0.038021980161422386,0.03745991956490216,,,,,,,,,,,0.04001832526965382,0.0018277171324203609
DE8,,,,,,,,,,,0.07514171596399288,0.07423474848586016,0.07142499404353383,0.0678798384137363,0.0704586441532768,0.06929086825662929,0.0715661084381449,0.0759485067467867,0.07684092217746115,0.07726386750528186,,,,,,,,,,,0.07300502141847039,0.003311715425441215
DE9,,,,,,,,,,,0.1809224256043169,0.18137819081863954,0.1800447198303149,0.17347100116669426,0.17824821706394853,0.17759850126646543,0.17863113307657047,0.18186980311321077,0.1831317563816641,0.1846274043324934,,,,,,,,,,,0.17999231526543183,0.003176409273483938
DEA,,,,,,,,,,,0.07687250748334823,0.07886632829356811,0.08373940041713149,0.08756935190442613,0.08479777097748466,0.08673881447300412,0.08275988388230973,0.07575697488513596,0.07462390102177734,0.07448169933764104,,,,,,,,,,,0.08062066326758269,0.005076054091320428
DEB,,,,,,,,,,,0.0295689979643863,0.02986226347697824,0.030981466135595347,0.032763425642330805,0.0314455000394709,0.03196975119005507,0.031081030738646803,0.0291834881601256,0.02874168627632647,0.02850521948431163,,,,,,,,,,,0.030410282910822716,0.001443130927532693
DEC,,,,,,,,,,,0.0068658491677914425,0.006829634642951102,0.006938209699660252,0.007467451254065474,0.007078569486006001,0.00714140696382106,0.007059983212590682,0.0067852450973840545,0.006679078489435019,0.006564686782956715,,,,,,,,,,,0.0069410114796661804,0.0002588281330043971
DED,,,,,,,,,,,0.05602254173846456,0.05597702195959586,0.05608733377064687,0.05668943688202408,0.0563124598079077,0.05622484827741091,0.05610151505504979,0.055996400169946614,0.05594501666728325,0.055723683326013906,,,,,,,,,,,0.056108025765434354,0.00025930914152747566
DEE,,,,,,,,,,,0.08448149662908949,0.08377199009127612,0.08068487432200958,0.07520724835067648,0.07919621439111599,0.07786828091307259,0.0803490835760343,0.08555634796829832,0.08681430390499115,0.08768989748925113,,,,,,,,,,,0.08216197376358152,0.004119929310523244
DEF,,,,,,,,,,,0.03628508219332702,0.03581009237705814,0.03518158345752923,0.035892357421784406,0.035384366633490816,0.0351345868863956,0.03565319303504052,0.0362994200233544,0.036249198856099375,0.035935353056433215,,,,,,,,,,,0.03578252339405127,0.00043842136000403785
DEG,,,,,,,,,,,0.024470819533530926,0.02469859668598617,0.025452955676810027,0.02649583776451662,0.02575449095422556,0.026029378368685924,0.025408492674632546,0.02426042277524757,0.02402308389122,0.02386211299807514,,,,,,,,,,,0.02504561913229305,0.0009058227328210647
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ES11,,,,,,,,,,,,,,,,,,,,,0.00610164279807168,0.005452142211093291,0.005958717186726843,0.007350108663874837,0.00695571889085915,0.0059608187230949594,0.005689403652434369,0.00530257529295529,0.004969444376427711,0.005106523272875646,0.005884709506841378,0.0007717374878366225
ES12,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ES13,,,,,,,,,,,,,,,,,,,,,0.0002157702794228343,0.00021189543730541432,0.0007128619173912511,0.0001534383080274316,0.00017317139704817433,0.00017608175387648378,0.0002074621157287744,0.0002044881825757516,0.00013768217441841648,0.00018907096633591616,0.0002381922532130448,0.00016877654428479254
ES21,,,,,,,,,,,,,,,,,,,,,0.007520182844431324,0.00799695832342156,0.008265247586981639,0.00829197859241805,0.008228776254656182,0.006045473549759275,0.006393605202914048,0.007509683220419194,0.006595195769029943,0.0063687062344729645,0.00732158075785042,0.0008889029530108994
ES22,,,,,,,,,,,,,,,,,,,,,0.019197403081172206,0.015600906414012657,0.012455730058761046,0.0118863426017013,0.012802990547751705,0.012556082828645978,0.013993210474704027,0.016055576666704024,0.013664763490672038,0.016464426128600995,0.014467743229272597,0.002313470930477283
ES23,,,,,,,,,,,,,,,,,,,,,0.0011869310190922022,0.0011585857113567775,0.0018293030005529234,0.0020078694665218123,0.001919552669286807,0.002179647933362384,0.002025709535561012,0.0020528092546206527,0.0017484326998050356,0.0024507913978455476,0.0018559632688005157,0.0004081784344426132
ES24,,,,,,,,,,,,,,,,,,,,,0.06518604780187996,0.06141088923124861,0.06613800624101428,0.0767819212633222,0.06519868322706068,0.06919706403236958,0.0832444378910316,0.07912493432334941,0.07985364388766211,0.08730585322725382,0.07334414811261922,0.00897519365036416
