region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.21319796954314726,0.21319796954314726,0.21319796954314726,0.2228260869565217,0.2228260869565217,0.24083769633507854,0.24083769633507854,0.2185792349726776,0.2185792349726776,0.22857142857142856,0.22771908158111168,0.22578192933039143,0.22578192933039146,0.22578192933039143,0.22578192933039143,0.22578192933039143,0.22578192933039143,0.22578192933039146,0.22578192933039143,0.22578192933039143,0.2257819293303914,0.22578192933039143,0.22578192933039143,0.2257819293303914,0.22578192933039148,0.22578192933039146,0.2257819293303914,0.2257819293303914,0.22578192933039143,0.22578192933039143,0.22500757041959918,0.005997691813079985
AT2,0.6192893401015228,0.6192893401015228,0.6192893401015228,0.6304347826086956,0.6304347826086956,0.5654450261780105,0.5654450261780105,0.5846994535519126,0.5846994535519126,0.5885714285714285,0.5908802011845062,0.5961274116687736,0.5961274116687736,0.5961274116687736,0.5961274116687736,0.5961274116687736,0.5961274116687736,0.5961274116687736,0.5961274116687736,0.5961274116687736,0.5961274116687737,0.5961274116687735,0.5961274116687735,0.5961274116687736,0.5961274116687736,0.5961274116687736,0.5961274116687736,0.5961274116687737,0.5961274116687735,0.5961274116687736,0.5974966332148146,0.014545781790737199
AT3,0.16751269035532995,0.16751269035532995,0.16751269035532995,0.14673913043478262,0.14673913043478262,0.193717277486911,0.193717277486911,0.19672131147540983,0.19672131147540983,0.18285714285714286,0.1814007172343821,0.17809065900083498,0.17809065900083496,0.17809065900083493,0.17809065900083498,0.17809065900083498,0.17809065900083498,0.17809065900083496,0.17809065900083498,0.17809065900083496,0.17809065900083496,0.17809065900083496,0.17809065900083496,0.17809065900083496,0.17809065900083498,0.17809065900083496,0.17809065900083493,0.17809065900083496,0.17809065900083496,0.17809065900083496,0.17749579636558624,0.01099711841558385
BE2,0.9177942928308425,0.9177942928308426,0.9177942928308426,0.9177942928308426,0.9177942928308426,0.9177942928308426,0.9177942928308426,0.9210526315789473,0.91875,0.9135802469135803,0.9177942928308426,0.9177942928308426,0.9177942928308425,0.9177942928308426,0.9177942928308426,0.9177942928308425,0.9177942928308426,0.9177942928308426,0.9177942928308425,0.9177942928308426,0.9177942928308426,0.9177942928308426,0.9177942928308427,0.9177942928308426,0.9177942928308425,0.9177942928308426,0.9177942928308426,0.9177942928308426,0.9177942928308426,0.9177942928308426,0.9177942928308426,0.0010049589215034948
BE3,0.08220570716915744,0.08220570716915744,0.08220570716915744,0.08220570716915747,0.08220570716915745,0.08220570716915745,0.08220570716915747,0.07894736842105263,0.08124999999999999,0.08641975308641976,0.08220570716915745,0.08220570716915745,0.08220570716915744,0.08220570716915745,0.08220570716915747,0.08220570716915745,0.08220570716915744,0.08220570716915744,0.08220570716915744,0.08220570716915745,0.08220570716915747,0.08220570716915745,0.08220570716915745,0.08220570716915745,0.08220570716915744,0.08220570716915745,0.08220570716915745,0.08220570716915745,0.08220570716915747,0.08220570716915747,0.08220570716915748,0.0010049589215035098
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,0.32037744703673915,0.32037744703673915,0.32037744703673915,0.3203774470367391,0.32037744703673904,0.3153589427316196,0.32037744703673904,0.3203774470367391,0.32954545454545453,0.3112094395280236,0.32037744703673904,0.32037744703673904,0.3203774470367391,0.3203774470367391,0.3203774470367391,0.32037744703673904,0.32037744703673904,0.32037744703673915,0.32037744703673904,0.320377447036739,0.32037744703673904,0.3203774470367391,0.32037744703673915,0.3203774470367391,0.3203774470367391,0.320377447036739,0.32037744703673904,0.3203774470367391,0.3203774470367391,0.32037744703673915,0.32021016355990173,0.0025760876241492027
DE2,0.10712908956824889,0.10712908956824889,0.10712908956824889,0.10712908956824886,0.10712908956824885,0.10545098206669261,0.10712908956824885,0.10712908956824886,0.10511363636363637,0.10914454277286137,0.10712908956824885,0.10712908956824885,0.10712908956824886,0.10712908956824885,0.10712908956824885,0.10712908956824886,0.10712908956824885,0.10712908956824886,0.10712908956824885,0.10712908956824885,0.10712908956824885,0.10712908956824885,0.10712908956824885,0.10712908956824886,0.10712908956824886,0.10712908956824883,0.10712908956824883,0.10712908956824885,0.10712908956824886,0.10712908956824888,0.1070731526515303,0.00061156328420909
DE4,0.057170152855993576,0.057170152855993576,0.057170152855993576,0.05717015285599356,0.05717015285599356,0.07193896910898274,0.05717015285599356,0.05717015285599356,0.056818181818181816,0.05752212389380531,0.057170152855993556,0.057170152855993556,0.05717015285599357,0.057170152855993556,0.057170152855993556,0.057170152855993556,0.05717015285599356,0.05717015285599357,0.05717015285599356,0.05717015285599355,0.05717015285599355,0.05717015285599355,0.05717015285599356,0.05717015285599357,0.057170152855993556,0.05717015285599355,0.057170152855993556,0.057170152855993556,0.057170152855993556,0.05717015285599356,0.05766244673109321,0.0026979884138299283
DE7,0.018819975194422103,0.018819975194422103,0.018819975194422103,0.018819975194422096,0.018819975194422096,0.018525172525229783,0.018819975194422096,0.018819975194422096,0.01846590909090909,0.019174041297935103,0.018819975194422096,0.018819975194422096,0.018819975194422096,0.018819975194422096,0.018819975194422096,0.018819975194422092,0.018819975194422092,0.018819975194422096,0.018819975194422096,0.018819975194422092,0.018819975194422092,0.018819975194422092,0.018819975194422096,0.0188199751944221,0.018819975194422096,0.018819975194422092,0.018819975194422096,0.018819975194422096,0.018819975194422096,0.018819975194422096,0.018810148438782356,0.00010743679317186717
DE8,0.031849188790560486,0.031849188790560486,0.031849188790560486,0.03184918879056048,0.03184918879056047,0.031350291965773484,0.03184918879056047,0.03184918879056048,0.03125,0.032448377581120944,0.03184918879056047,0.03184918879056047,0.03184918879056048,0.03184918879056047,0.03184918879056047,0.03184918879056047,0.03184918879056048,0.03184918879056048,0.03184918879056048,0.03184918879056047,0.03184918879056047,0.03184918879056047,0.03184918879056048,0.03184918879056048,0.03184918879056048,0.03184918879056047,0.03184918879056047,0.03184918879056048,0.03184918879056048,0.03184918879056048,0.031832558896400916,0.00018181611152162097
DE9,0.15416540962724595,0.15416540962724595,0.15416540962724595,0.15416540962724593,0.1541654096272459,0.1517505087686779,0.1541654096272459,0.15416540962724593,0.15198863636363635,0.15634218289085547,0.15416540962724593,0.15416540962724593,0.15416540962724593,0.1541654096272459,0.1541654096272459,0.1541654096272459,0.15416540962724593,0.15416540962724593,0.15416540962724595,0.1541654096272459,0.1541654096272459,0.1541654096272459,0.15416540962724593,0.15416540962724595,0.15416540962724593,0.1541654096272459,0.1541654096272459,0.15416540962724593,0.1541654096272459,0.15416540962724593,0.1540849129319603,0.000721923634811554
DEA,0.052116854384553504,0.052116854384553504,0.052116854384553504,0.0521168543845535,0.05211685438455349,0.05130047776217478,0.05211685438455349,0.05211685438455349,0.05113636363636363,0.05309734513274336,0.05211685438455348,0.05211685438455348,0.05211685438455349,0.05211685438455349,0.05211685438455349,0.05211685438455349,0.05211685438455349,0.0521168543845535,0.0521168543845535,0.05211685438455349,0.05211685438455348,0.05211685438455349,0.0521168543845535,0.05211685438455349,0.05211685438455348,0.05211685438455348,0.05211685438455348,0.0521168543845535,0.0521168543845535,0.0521168543845535,0.052089641830474195,0.0002975172733990165
