region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.7421383647798743,0.7455089820359281,0.7492447129909365,0.7459807073954984,0.7550335570469799,0.7925925925925925,0.8136882129277566,0.8119658119658121,0.812227074235808,0.8232758620689655,0.8396624472573839,0.8398268398268398,0.8444444444444444,0.8428571428571429,0.8356164383561643,0.8333333333333333,0.8356164383561643,0.8451327433628318,0.8458149779735683,0.8333333333333334,0.8411470186618115,0.8481400437636761,0.8516988062442608,0.8499053030303031,0.8569424964936886,0.8605792832596957,0.8615167216203485,0.8665217391304348,0.8707368421052631,0.872393661384487,0.8255625310945109,0.03970300318289054
AT2,0.0880503144654088,0.08982035928143713,0.0906344410876133,0.09003215434083602,0.087248322147651,0.06666666666666667,0.057034220532319393,0.05555555555555556,0.05676855895196506,0.056034482758620684,0.05063291139240506,0.04761904761904763,0.04888888888888889,0.047619047619047616,0.045662100456621,0.04504504504504504,0.045662100456621,0.04424778761061947,0.04845814977973569,0.05405405405405406,0.0487027765134274,0.04857768052516412,0.047291092745638204,0.05303030303030304,0.05236091631603554,0.0505645557191949,0.05181347150259067,0.050434782608695654,0.050526315789473676,0.05087572977481234,0.057330394441183166,0.015155137024515212
AT3,0.16981132075471697,0.16467065868263472,0.16012084592145018,0.1639871382636656,0.15771812080536915,0.14074074074074075,0.12927756653992395,0.13247863247863248,0.13100436681222707,0.12068965517241378,0.10970464135021098,0.11255411255411257,0.10666666666666666,0.10952380952380951,0.11872146118721459,0.12162162162162163,0.11872146118721459,0.11061946902654866,0.10572687224669604,0.11261261261261263,0.11015020482476102,0.10328227571115974,0.10101010101010101,0.09706439393939392,0.09069658719027583,0.08885616102110948,0.08666980687706076,0.08304347826086957,0.07873684210526316,0.07673060884070058,0.11710707446430593,0.02621583302135185
BE2,0.7406639004149377,0.7092337917485265,0.6907216494845361,0.6819126819126818,0.6705426356589147,0.6792114695340502,0.6623164763458401,0.6660649819494585,0.674061433447099,0.6618075801749271,0.6555386949924128,0.6511254019292604,0.6482982171799028,0.6222596964586846,0.6281859070464768,0.6194144838212635,0.6264880952380952,0.6244477172312224,0.5940438871473354,0.5753052917232021,0.5703794369645043,0.5853658536585366,0.554559043348281,0.5731382978723404,0.5582003988035892,0.5561640346408558,0.5686692869174621,0.5622706669544572,0.5373711340206185,0.5603430671839903,0.6236035071267821,0.054405275887968625
BE3,0.2593360995850622,0.2907662082514735,0.3092783505154639,0.3180873180873181,0.3294573643410853,0.32078853046594985,0.3376835236541598,0.33393501805054154,0.32593856655290104,0.33819241982507287,0.3444613050075872,0.3488745980707395,0.35170178282009723,0.3777403035413154,0.37181409295352325,0.38058551617873654,0.3735119047619048,0.37555228276877756,0.4059561128526646,0.42469470827679784,0.42962056303549573,0.41463414634146345,0.44544095665171896,0.4268617021276596,0.44179960119641076,0.4438359653591441,0.43133071308253795,0.43772933304554285,0.4626288659793814,0.4396569328160098,0.3763964928732179,0.05440527588796863
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,0.01932895696571845,0.0313231850117096,0.030202272097533938,0.031059878322126148,0.033060668029993176,0.03078387813392573,0.02888624181060154,0.02733860342555994,0.027590847913862713,0.02626459143968872,0.025632599408478476,0.024096385542168672,0.0278071101724745,0.02366040361864996,0.02132701421800948,0.023104693140794226,0.024470593297189973,0.021462349945434705,0.021178282633808235,0.022365428354814254,0.021079125373603902,0.02204176334106729,0.023080151070079727,0.021837659662134322,0.023303352412101394,0.019864750633981403,0.02227722772277228,0.01997602876548142,0.0190325138778747,0.02097902097902098,0.024480519244022,0.004021294173838998
DE2,0.11506199854121078,0.18501170960187355,0.1911886949293433,0.19692603266090292,0.20006816632583502,0.19136781973976513,0.1861226920786182,0.18346508563899863,0.18539703903095558,0.17996108949416345,0.18205718041406507,0.17717930545712263,0.18162618796198532,0.17954070981210854,0.17535545023696683,0.17472924187725633,0.1781971908396242,0.1746089487086213,0.17635733538698495,0.17285822592873387,0.1707959729432122,0.16898685228151591,0.17415023080151068,0.1792336217552534,0.1668029435813573,0.16906170752324598,0.16584158415841585,0.16660007990411504,0.15305313243457574,0.15126978284873024,0.17509586709656896,0.01572389608737459
DE4,0.18143690736688545,0.10626463700234191,0.08700471044610693,0.0627601665065642,0.05385139740967961,0.05299904792129482,0.05300774270399047,0.05105401844532278,0.049461641991924626,0.047016861219195856,0.04534998356884654,0.04358610914245216,0.04047870468145021,0.039665970772442584,0.044346648612051454,0.041877256317689536,0.0411784919527148,0.03783193888686794,0.03658067000385059,0.03639120545868081,0.034922133081642284,0.036349574632637285,0.03608896349139739,0.036670786979810466,0.040065412919051524,0.03888419273034657,0.039191419141914194,0.03995205753096284,0.04282315622521809,0.04048582995951417,0.051252587903428265,0.028938628326871798
DE7,0.012217359591539021,0.019320843091334895,0.019673039623164308,0.020172910662824204,0.020109066121336058,0.019041574103459216,0.018165574746873137,0.01877470355731225,0.018506056527590846,0.019130998702983144,0.017745645744331254,0.016654854712969524,0.016543470608940524,0.01774530271398747,0.018957345971563982,0.01624548736462094,0.01749174879407354,0.017824663514005093,0.017327685791297648,0.01743745261561789,0.01683183891772849,0.016241299303944322,0.018044481745698695,0.017717346518335394,0.01717089125102208,0.015638207945900255,0.01608910891089109,0.01518178186176588,0.015463917525773196,0.013986013986013986,0.017381689084229945,0.00179064840420042
DE8,0.13274981765134936,0.08021077283372365,0.08063175394846217,0.07396733909702208,0.05794137695978186,0.058076801015550614,0.0574746873138773,0.05533596837944663,0.05383580080753701,0.052853437094682244,0.05389418337167269,0.05634301913536499,0.05420626539950724,0.05671537926235212,0.05924170616113745,0.05667870036101083,0.06049229791283767,0.057839214259730806,0.056218713900654596,0.054207733131159966,0.05462482302973101,0.0525908739365816,0.053713806126731004,0.049443757725587144,0.04987735077677841,0.04775993237531699,0.04744224422442245,0.047542948461845785,0.04916732751784298,0.04784688995215311,0.05896416407079507,0.01623006824832501
DE9,0.17706053975200578,0.3091334894613583,0.3325020781379883,0.377201408901697,0.3977505112474437,0.3954300222151697,0.405300774270399,0.42654808959156776,0.4236204576043069,0.4296368352788587,0.4226092671705554,0.43408929836995036,0.4318901795142558,0.4380654140570633,0.4306025727826676,0.4476534296028881,0.4329207826533202,0.43724990905783917,0.43781286099345396,0.44617134192570124,0.44277961302501184,0.4365815931941223,0.434746118338229,0.4223320972393902,0.4304987735077678,0.4475908706677938,0.44513201320132023,0.4486616060727127,0.4516256938937352,0.4405594405594406,0.41445856940960046,0.05543623898116153
DEA,0.033552151714077307,0.06645199063231849,0.07509005264616236,0.0854947166186359,0.0896387184730743,0.09489051094890509,0.09946396664681356,0.09222661396574437,0.09724091520861372,0.1005188067444877,0.10811698981268486,0.10666194188518781,0.10524463217177056,0.10716771050800276,0.11408259986459039,0.10469314079422384,0.11114548712900896,0.11531465987631864,0.11551790527531765,0.11485974222896132,0.1221881390593047,0.12606341840680593,0.11498111624003354,0.12896580140090647,0.12878168438266557,0.12045646661031277,0.1278877887788779,0.12425089892129444,0.1316415543219667,0.14906146485093855,0.10705505287060021,0.022411804489980047
DEB,0.019511305616338435,0.0313231850117096,0.03269603768356885,0.032981107909061794,0.036128152692569866,0.035226912091399554,0.0327575938058368,0.03425559947299076,0.03364737550471063,0.0337224383916991,0.03187643772592836,0.03082919914953933,0.03379091869060191,0.030619345859429364,0.03012863913337847,0.030324909747292426,0.030610560389628703,0.03092033466715169,0.03273007316134,0.029946929492039424,0.029809658644014473,0.03054911059551432,0.032731850608476706,0.03255047383601154,0.029844644317252658,0.030431107354184275,0.027640264026402645,0.027566919696364364,0.02696272799365583,0.027603974972396025,0.030990592941349603,0.003134685061682343
DEC,0.0005470459518599561,0.0008782201405152224,0.001108340260459961,0.000960614793467819,0.0013633265167007497,0.0009520787051729607,0.0008933889219773673,0.0009881422924901183,0.0013458950201884253,0.000648508430609598,0.0006572461386789354,0.0007087172218284905,0.0007039774727208733,0.0006958942240779401,0.0006770480704129994,0.0007220216606498196,0.000728822866419731,0.000727537286285922,0.00038505968425105885,0.0007581501137225169,0.0005505741702060721,0.0003866976024748648,0.00041963911036508597,0.00041203131437989287,0.0004088307440719543,0.000422654268808115,0.0004125412541254126,0.00039952057530962844,0.00039651070578905636,0.0007361059992638941,0.0006998380505761481,0.00027233169645261433
DED,0.09883296863603208,0.0544496487119438,0.0426711000277085,0.03490233749599743,0.028629856850715747,0.03205331640748968,0.029481834425253126,0.02602108036890645,0.026917900403768506,0.02691309987029832,0.02891883010187316,0.028703047484053862,0.02921506511791624,0.027835768963117603,0.02742044685172647,0.026714801444043326,0.02660203462432018,0.029101491451436885,0.027724297266076236,0.02691432903714935,0.02745005505741702,0.02861562258313999,0.028535459504825843,0.026782035434693034,0.028209321340964846,0.02704987320371936,0.025990099009900992,0.02477027566919696,0.023394131641554326,0.022451232977548766,0.03144237873209295,0.014054931132690211
DEE,0.13274981765134936,0.06996487119437939,0.06594624549736769,0.05059237912263848,0.05078391274710292,0.05553792446842272,0.054198927933293624,0.051712779973649516,0.05047106325706594,0.050907911802853444,0.05225106802497537,0.04961020552799433,0.04857444561774026,0.04906054279749477,0.04671631685849696,0.048014440433213006,0.047373486317282505,0.04656238632229901,0.048517520215633415,0.048521607278241084,0.04927638823344344,0.05336426914153134,0.05245488879563575,0.05274000824062629,0.053556827473426,0.05325443786982249,0.052392739273927395,0.053935277666799834,0.05789056304520222,0.0563121089436879,0.055108178724186545,0.01552388955779126
DEF,0.007840991976659372,0.013758782201405152,0.015239678581324464,0.016970861351264806,0.016359918200408993,0.01650269755633132,0.01727218582489577,0.0181159420289855,0.018842530282637954,0.01945525291828794,0.01873151495234966,0.021615875265768955,0.020415346708905324,0.02018093249826026,0.02132701421800948,0.02021660649819495,0.020042628826542598,0.021462349945434705,0.02079322294955718,0.020849128127369214,0.021472392638036807,0.020108275328692967,0.023080151070079727,0.023073753605274,0.023303352412101394,0.021978021978021976,0.02227722772277228,0.024370755093887333,0.022204599524187154,0.022819285977180713,0.019689375875427597,0.0034069187015074312
DEG,0.06911013858497445,0.03190866510538642,0.026045996120809087,0.016010246557796988,0.014314928425357873,0.017137416693113295,0.01697438951756998,0.014163372859025029,0.013122476446837145,0.012970168612191961,0.012159053565560305,0.009922041105598866,0.00950369588173179,0.00904662491301322,0.00981719702098849,0.009025270758122745,0.00874587439703677,0.009094216078574026,0.008856372737774353,0.008718726307808945,0.008219285826647788,0.008120649651972161,0.007973143096936633,0.008240626287597858,0.008176614881439085,0.007607776838546069,0.007425742574257426,0.006791849780263683,0.006344171292624902,0.005888847994111153,0.013381185997122284,0.01197845797973788
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ES11,0.37874762808349144,0.3897316219369895,0.3563357546408394,0.37668834417208596,0.38632832729155875,0.4003013561024611,0.325,0.27355198883461274,0.21316614420062696,0.19014084507042256,0.19077196095829635,0.20400728597449908,0.21793635486981677,0.22604166666666667,0.2225672877846791,0.23085460599334073,0.22826086956521735,0.28049800938124875,0.28049800938124875,0.28049800938124875,0.25319380266376734,0.2573694646397885,0.2893498087672845,0.29292628443782576,0.2866440294284098,0.2924727932285369,0.2828507795100223,0.2709307587871474,0.27193122114313,0.2653452685421995,0.28049800938124875,0.061108491577711484
ES12,0.01631878557874763,0.016336056009334892,0.016142050040355124,0.019009504752376186,0.01916105644743656,0.01858362631843295,0.01918604651162791,0.022330774598743892,0.025078369905956115,0.025039123630672927,0.027506654835847383,0.0273224043715847,0.028929604628736737,0.03125,0.033126293995859216,0.033296337402885685,0.03260869565217391,0.0203279354844702,0.0203279354844702,0.0203279354844702,0.02378363685784181,0.020092531394580306,0.016181229773462785,0.015338793745346241,0.01428975664968874,0.013603385731559855,0.012472160356347439,0.008146025041484387,0.006368412673141219,0.007352941176470588,0.020327935484470195,0.007407766363374623
