region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.7370242214532872,0.7370242214532872,0.7370242214532872,0.793418647166362,0.7464212678936605,0.5681818181818181,0.6082191780821917,0.6159554730983302,0.6052631578947368,0.5967413441955193,0.5879732739420935,0.6193853427895981,0.6550976138828634,0.689873417721519,0.7123595505617978,0.7296037296037297,0.7408312958435207,0.7604456824512535,0.794425087108014,0.7916666666666666,0.8040983606557377,0.7812499999999999,0.7849705749207786,0.7400336889387984,0.7444331983805668,0.7106491302503182,0.7233870967741937,0.7147856517935258,0.7493940862821135,0.7963800904977375,0.7125439029979103,0.07154786337982215
AT2,0.08823529411764705,0.08823529411764705,0.08823529411764705,0.0603290676416819,0.081799591002045,0.18560606060606064,0.10684931506849313,0.07235621521335807,0.06414473684210525,0.07942973523421587,0.08463251670378619,0.0851063829787234,0.08676789587852496,0.0759493670886076,0.06292134831460675,0.0606060606060606,0.056234718826405856,0.058495821727019504,0.0627177700348432,0.07407407407407407,0.06311475409836066,0.0664612676056338,0.06971480307831598,0.07580011229646266,0.07135627530364372,0.06151887993211709,0.04959677419354839,0.056430446194225735,0.05380513814832768,0.050339366515837106,0.07469547925200087,0.025000441191862247
AT3,0.17474048442906576,0.17474048442906576,0.17474048442906576,0.14625228519195613,0.1717791411042945,0.24621212121212122,0.284931506849315,0.31168831168831174,0.3305921052631579,0.32382892057026474,0.3273942093541202,0.2955082742316785,0.25813449023861174,0.23417721518987344,0.22471910112359553,0.20979020979020976,0.2029339853300733,0.181058495821727,0.14285714285714285,0.13425925925925924,0.13278688524590165,0.1522887323943662,0.1453146220009054,0.18416619876473891,0.18421052631578944,0.2278319898175647,0.22701612903225807,0.2287839020122485,0.19680077556955883,0.15328054298642535,0.21276061775008892,0.06110932023046198
BE2,0.24112027200586633,0.24112027200586633,0.24112027200586636,0.24112027200586633,0.2411202720058663,0.2411202720058663,0.24112027200586625,0.2368421052631579,0.25,0.26666666666666666,0.3181818181818182,0.15,0.3157894736842105,0.2692307692307692,0.27999999999999997,0.32,0.25,0.29411764705882354,0.28571428571428575,0.25000000000000006,0.3,0.1916589556195997,0.23529411764705885,0.1875,0.24747474747474746,0.218978102189781,0.17647058823529416,0.168141592920354,0.1741424802110818,0.16630196936542668,0.241344907450138,0.04660408192811183
BE3,0.7588797279941337,0.7588797279941337,0.7588797279941337,0.7588797279941337,0.7588797279941336,0.7588797279941337,0.7588797279941336,0.7631578947368421,0.7500000000000001,0.7333333333333334,0.6818181818181818,0.85,0.6842105263157895,0.7307692307692308,0.72,0.6799999999999999,0.75,0.7058823529411764,0.7142857142857143,0.75,0.7,0.8083410443804003,0.7647058823529412,0.8125,0.7525252525252525,0.781021897810219,0.8235294117647058,0.8318584070796461,0.8258575197889182,0.8336980306345733,0.7586550925498621,0.046604081928111836
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,0.04413571531838461,0.04413571531838461,0.044135715318384616,0.044135715318384616,0.04413571531838461,0.044593208728725124,0.0441357153183846,0.03468834688346884,0.04353620613060862,0.040566037735849055,0.03984921917070544,0.04206675811614083,0.036075036075036065,0.0347994200096665,0.03494926719278466,0.03615886188500297,0.04375635687462096,0.035747021081576534,0.0441357153183846,0.04698795180722891,0.05386067773029912,0.05280577956229597,0.054234335809242966,0.06442953020134226,0.055314533622559656,0.06300686213349968,0.06807506566490709,0.06687580348317118,0.05604524357574316,0.06005287901346465,0.04724748032388775,0.009937020300878327
DE2,0.11491379772474093,0.11491379772474092,0.11491379772474093,0.11491379772474095,0.11491379772474092,0.11610494881036464,0.11491379772474092,0.06449864498644987,0.08307418924922255,0.07877358490566037,0.07162089391491654,0.08001828989483312,0.08658008658008656,0.08989850169163849,0.09864712514092447,0.10314167160640192,0.11789305189217006,0.13382218148487626,0.11491379772474092,0.1686746987951807,0.18334492696015103,0.1827892369464091,0.15654001472213308,0.17181208053691274,0.18004338394793928,0.12975670617592014,0.13731380766596646,0.1399334039269716,0.1305734930115718,0.1267115747184104,0.12119876938794324,0.033266270671016195
DE4,0.20197331558292075,0.20197331558292073,0.20197331558292075,0.20197331558292078,0.20197331558292075,0.19370128585001586,0.20197331558292075,0.21029810298102983,0.18302976454908929,0.17311320754716983,0.1890145395799677,0.19433013260173754,0.2092352092352092,0.2247462542290962,0.20518602029312288,0.2270302311796088,0.22130800969231923,0.2474793767186068,0.20197331558292073,0.20361445783132526,0.2088840306071748,0.21223861400999725,0.22310033594256765,0.20402684563758386,0.19739696312364427,0.15221459762944478,0.13440461682558583,0.1270078284638377,0.12163010307927237,0.11890470044666002,0.19319028123781715,0.03191572026126783
DE7,0.0370614463024923,0.0370614463024923,0.03706144630249231,0.03706144630249231,0.0370614463024923,0.037445610631511715,0.0370614463024923,0.02764227642276423,0.03243003109729009,0.03490566037735849,0.038233710285406564,0.04435299497027891,0.045214045214045206,0.038182696955050756,0.0411499436302142,0.03615886188500297,0.034471652600049724,0.033913840513290563,0.03706144630249229,0.033734939759036145,0.029215939580641954,0.029449377063588137,0.03451275915133643,0.03758389261744966,0.03579175704989154,0.047411104179663134,0.04771072978224257,0.047768431059407986,0.043524497670523944,0.046841245630502425,0.03790253740813313,0.005450942307999741
DE8,0.09019982467368629,0.09019982467368629,0.0901998246736863,0.0901998246736863,0.09019982467368627,0.09113480046606666,0.09019982467368627,0.14850948509485096,0.14038205242114615,0.12924528301886792,0.11093161012385568,0.08916323731138545,0.0909090909090909,0.09086515224746254,0.0822998872604284,0.07231772377000593,0.06894330520009945,0.06416131989000917,0.09019982467368627,0.057831325301204814,0.0616118453741429,0.0639762329312432,0.05916472997371959,0.06308724832214764,0.05748373101952278,0.0941983780411728,0.10473087025370321,0.11127234529132683,0.1484602728761707,0.1471295535829884,0.09264027511321386,0.027440603592774674
DE9,0.045043080070590935,0.04504308007059093,0.04504308007059094,0.045043080070590935,0.04504308007059092,0.04550997886593348,0.04504308007059093,0.04390243902439025,0.037316748111950244,0.041981132075471696,0.037156704361873995,0.044810242341106546,0.050505050505050504,0.044465925567907204,0.04622322435174746,0.03852993479549497,0.037229384808053705,0.03758020164986251,0.04504308007059092,0.04457831325301205,0.035079002285600715,0.044597530444021344,0.04558194855645205,0.046979865771812075,0.06290672451193059,0.06363069245165315,0.0663295511606787,0.059570043438791125,0.06618108549901586,0.0672592244950804,0.04744021696070092,0.009329314679471595
DEA,0.033638457574326416,0.03363845757432641,0.03363845757432642,0.03363845757432642,0.033638457574326416,0.03398714055279993,0.03363845757432641,0.019512195121951223,0.019991115059973343,0.023113207547169817,0.022078621432417875,0.0283493369913123,0.03078403078403078,0.027549540840985983,0.038331454340473504,0.03200948429164198,0.047570880588068624,0.05591200733272227,0.03363845757432641,0.05301204819277108,0.04104143893471132,0.031480368585214906,0.04190835039805138,0.042953020134228186,0.036876355748373106,0.0330630068621335,0.04771072978224257,0.0561981541875388,0.07035466746742228,0.0978861927919474,0.038904751699615575,0.01594170598709163
DEB,0.01950004935961265,0.019500049359612654,0.019500049359612654,0.01950004935961265,0.01950004935961265,0.01970217917713079,0.019500049359612647,0.014634146341463417,0.01910262105730786,0.02122641509433962,0.024232633279483034,0.03017832647462277,0.024531024531024525,0.020299661672305465,0.018602029312288614,0.01600474214582099,0.01585696019602287,0.015582034830430799,0.019500049359612647,0.015662650602409636,0.017191692338268907,0.01930716202382993,0.018488978116787375,0.020134228187919462,0.019522776572668113,0.015595757953836557,0.019435480443503187,0.018545390881887804,0.02921507377884484,0.036031727408078786,0.0201861345979188,0.00463162957781552
