region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.8551307847082494,0.8621359223300971,0.8643122676579925,0.8672897196261682,0.8675623800383877,0.8643410852713178,0.860377358490566,0.8565891472868217,0.8608870967741935,0.8617021276595745,0.8648018648018648,0.8660714285714286,0.8651685393258427,0.8614318706697458,0.8683035714285714,0.8642533936651584,0.8625954198473282,0.8537735849056604,0.8604651162790697,0.863013698630137,0.8641837644959858,0.8673535093367676,0.868250101502233,0.8715830875122911,0.8723320158102766,0.8730193661971831,0.8691954022988506,0.8652764761012183,0.82464,0.8006453926138402,0.8608895164612274,0.014238584364796417
AT2,0.006036217303822936,0.005825242718446601,0.0055762081784386614,0.005607476635514018,0.005758157389635315,0.005813953488372093,0.005660377358490565,0.005813953488372092,0.0060483870967741925,0.006382978723404255,0.006993006993006992,0.006696428571428572,0.006741573033707865,0.006928406466512701,0.006696428571428571,0.006787330316742081,0.005089058524173028,0.007075471698113206,0.004651162790697675,0.004566210045662101,0.005575379125780554,0.005365958360163126,0.005278116118554608,0.005703048180924287,0.005533596837944665,0.005941901408450704,0.005747126436781609,0.006560449859418932,0.007679999999999999,0.008605234851201148,0.0060912946857321045,0.0008661684464828618
AT3,0.13883299798792756,0.1320388349514563,0.13011152416356878,0.12710280373831775,0.12667946257197696,0.1298449612403101,0.13396226415094337,0.13759689922480617,0.13306451612903225,0.13191489361702127,0.1282051282051282,0.12723214285714288,0.12808988764044946,0.13163972286374132,0.125,0.12895927601809953,0.13231552162849872,0.1391509433962264,0.13488372093023257,0.1324200913242009,0.1302408563782337,0.12728053230306935,0.12647178237921233,0.12271386430678466,0.12213438735177866,0.12103873239436619,0.1250574712643678,0.1281630740393627,0.16768,0.19074937253495877,0.13301918885304048,0.01368359902301032
BE2,0.359925788497217,0.3658536585365853,0.36993076162215627,0.36767676767676766,0.3792016806722689,0.375886524822695,0.36465781409601633,0.36743215031315246,0.3715498938428875,0.3719090009891197,0.3733480176211454,0.3807531380753138,0.37655601659751037,0.37719298245614036,0.3769931662870159,0.3824561403508772,0.37394451145958985,0.3784764207980653,0.34525660964230176,0.3460925039872408,0.3490725126475548,0.33870967741935487,0.33934426229508197,0.3516666666666667,0.3385826771653544,0.33837899980839237,0.33742774566473993,0.3295856087375522,0.31780339417227027,0.3231090972464273,0.3589591396722487,0.01913813841243385
BE3,0.640074211502783,0.6341463414634146,0.6300692383778438,0.6323232323232323,0.620798319327731,0.624113475177305,0.6353421859039836,0.6325678496868476,0.6284501061571125,0.6280909990108804,0.6266519823788547,0.6192468619246861,0.6234439834024896,0.6228070175438596,0.623006833712984,0.6175438596491228,0.6260554885404102,0.6215235792019348,0.6547433903576984,0.6539074960127591,0.6509274873524452,0.6612903225806452,0.6606557377049179,0.6483333333333333,0.6614173228346457,0.6616210001916075,0.6625722543352601,0.6704143912624478,0.6821966058277298,0.6768909027535728,0.6410408603277513,0.019138138412433864
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
