region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.3553857295045016,0.35538572950450154,0.35538572950450154,0.3553857295045015,0.3553857295045016,0.35538572950450154,0.3553857295045015,0.3553857295045016,0.35538572950450154,0.35538572950450154,0.35538572950450154,0.3553857295045015,0.35538572950450154,0.3553857295045015,0.35538572950450154,0.35538572950450154,0.3553857295045015,0.35538572950450154,0.35538572950450154,0.35538572950450154,0.3280378570221396,0.3323082180078592,0.33350942067265366,0.35669107856191745,0.36210350584307177,0.3572173913043478,0.36377590176515734,0.3711031175059952,0.36982643524699604,0.3792843691148776,0.35538572950450154,0.010010939237451208
AT2,0.39439181925474676,0.39439181925474676,0.3943918192547467,0.39439181925474676,0.39439181925474676,0.3943918192547468,0.3943918192547467,0.3943918192547468,0.39439181925474676,0.39439181925474676,0.3943918192547468,0.39439181925474676,0.39439181925474676,0.39439181925474676,0.39439181925474676,0.39439181925474676,0.3943918192547467,0.39439181925474676,0.39439181925474676,0.39439181925474676,0.4155822207199594,0.412950623611823,0.4090508892410636,0.39996671105193077,0.39499165275459097,0.3939130434782609,0.3676132003069839,0.3850919264588329,0.3860385275605569,0.37871939736346516,0.3943918192547467,0.008628349105166834
AT3,0.25022245124075176,0.2502224512407517,0.25022245124075165,0.2502224512407517,0.2502224512407517,0.2502224512407517,0.2502224512407517,0.25022245124075176,0.2502224512407517,0.2502224512407517,0.25022245124075176,0.2502224512407517,0.2502224512407517,0.2502224512407517,0.25022245124075165,0.2502224512407517,0.2502224512407517,0.2502224512407517,0.2502224512407517,0.2502224512407517,0.25637992225790096,0.2547411583803178,0.25743969008628276,0.24334221038615178,0.24290484140233723,0.24886956521739131,0.2686108979278588,0.24380495603517183,0.24413503719244709,0.24199623352165725,0.25022245124075176,0.004903143301042119
BE2,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212317,0.6074033463212317,0.6074033463212317,0.6074033463212317,0.6074033463212317,0.6074033463212318,0.6074033463212317,0.6074033463212318,0.6074033463212317,0.5939661515820457,0.6210695716761575,0.5988043839256061,0.6037652757899372,0.6099580600064523,0.6168566349471923,0.6074033463212318,0.0043564967626311376
BE3,0.39259665367876817,0.3925966536787682,0.39259665367876817,0.3925966536787682,0.3925966536787682,0.3925966536787682,0.39259665367876817,0.3925966536787682,0.39259665367876817,0.39259665367876817,0.3925966536787682,0.3925966536787682,0.3925966536787682,0.39259665367876817,0.39259665367876817,0.39259665367876817,0.3925966536787682,0.39259665367876817,0.39259665367876817,0.39259665367876817,0.39259665367876817,0.39259665367876817,0.3925966536787682,0.39259665367876817,0.4060338484179544,0.37893042832384255,0.40119561607439386,0.3962347242100627,0.3900419399935477,0.3831433650528077,0.3925966536787681,0.004356496762631135
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
