region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.10814597636406148,0.10814597636406148,0.10814597636406148,0.10814597636406148,0.10814597636406148,0.10814597636406148,0.03555484154434898,0.0231328291687832,0.030212209269960034,0.04055474113652306,0.05709229209067206,0.08777064748387602,0.16427236916059973,0.6921342487299935,0.6921342487299935,0.6488758581843688,0.7415724093535644,0.7135404626082407,0.7014874142533717,0.7605870865164763,0.7627118644067796,0.8440366972477065,0.8333333333333333,0.8771929824561402,0.8695652173913043,0.8578358803115385,0.8574430983150588,0.8594382227607533,0.8597265039256208,0.8608848019475784,0.48399887061703184,0.36188102127904026
AT2,0.0032872845239866524,0.0032872845239866524,0.0032872845239866524,0.0032872845239866524,0.0032872845239866524,0.0032872845239866524,0.0010807510763791734,0.0007031624650238829,0.0009183525019391284,0.0012327316964949946,0.0017354192410894004,0.0026679410629456895,0.0049933435807392205,0.021038620953514577,0.021038620953514577,0.019723707143919914,0.02254137959305133,0.02168929995207688,0.021322926642075583,0.023119363685180853,0.01694915254237288,0.01834862385321101,0.020833333333333332,0.017543859649122806,0.05434782608695652,0.02607540944450429,0.026063470154465602,0.026124115422410478,0.026132878228422193,0.026168086705794732,0.0147372027704153,0.012538490776792371
AT3,0.8885667391119518,0.8885667391119518,0.8885667391119518,0.8885667391119518,0.8885667391119518,0.8885667391119518,0.9633644073792719,0.9761640083661929,0.9688694382281008,0.9582125271669819,0.9411722886682385,0.9095614114531784,0.8307342872586609,0.28682713031649204,0.28682713031649204,0.3314004346717113,0.23588621105338434,0.2647702374396825,0.2771896591045528,0.2162935497983429,0.22033898305084743,0.13761467889908258,0.1458333333333333,0.10526315789473682,0.07608695652173912,0.11608871024395725,0.11649343153047562,0.11443766181683611,0.11414061784595707,0.11294711134662681,0.5012639266125528,0.37304401627813155
BE2,0.4822443106994419,0.48069768854427813,0.4774321543032329,0.4802089592096078,0.4818374552142972,0.48176543421226853,0.48197776233493056,0.48176543421226853,0.48154149288326215,0.4823081873476895,0.483300462951975,0.4847313789070198,0.4842819640004261,0.4854013045317546,0.4854894113070072,0.4852384510658463,0.4842468851003488,0.4835763617435834,0.4823081873476895,0.4818374552142972,0.48176543421226853,0.7367563162184189,0.7372330547818012,0.711897738446411,0.6331360946745562,0.32694673472058633,0.3140711955478795,0.30004084967320266,0.28943480329551996,0.2890184935945367,0.4824163818765469,0.1122637136593393
BE3,0.5177556893005582,0.5193023114557219,0.5225678456967671,0.5197910407903923,0.5181625447857028,0.5182345657877315,0.5180222376650695,0.5182345657877315,0.5184585071167378,0.5176918126523105,0.5166995370480251,0.5152686210929802,0.5157180359995739,0.5145986954682453,0.5145105886929927,0.5147615489341537,0.5157531148996514,0.5164236382564165,0.5176918126523105,0.5181625447857028,0.5182345657877315,0.26324368378158114,0.26276694521819866,0.28810226155358903,0.3668639053254438,0.6730532652794137,0.6859288044521206,0.6999591503267975,0.71056519670448,0.7109815064054633,0.5175836181234531,0.11226371365933932
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,0.3896103896103896,0.3896103896103896,0.3896103896103896,0.3896103896103896,0.3896103896103896,0.3896103896103896,0.3896103896103896,0.3896103896103896,0.3896103896103896,0.3896103896103896,0.3896103896103896,0.3896103896103896,0.3896103896103896,0.3896103896103896,0.3896103896103896,0.3896103896103896,0.3896103896103896,0.3896103896103896,0.3896103896103896,0.3896103896103896,0.2727272727272727,0.4424778761061947,0.43478260869565216,0.42253521126760557,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2936622935660082,0.03478688610139416
DE2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DE4,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.10909090909090907,0.20353982300884954,0.2391304347826087,0.29577464788732394,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.15411935223909057,0.07533836431128135
DE7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DE8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028188865398167718,
DE9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18322762508809018,
DEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070472163495419295,
DEB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014094432699083859,
DED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DEE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DEG,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.3181818181818182,0.3539823008849558,0.32608695652173914,0.28169014084507044,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3196602146600175,0.061548599102675516
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ES11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ES12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
