region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.7811602884019963,0.7800304501695493,0.7445077298616761,0.7414937759336099,0.7365145228215767,0.752012914125329,0.7656009542980002,0.7621114727141215,0.770230675778365,0.7812515552335443,0.7883025380652933,0.7914822449600126,0.7886437739650023,0.7994139495769349,0.8089564287708941,0.806146177222024,0.8017546297548555,0.801043952946084,0.7944224805178894,0.7955808159921213,0.808717186726102,0.8023592035223762,0.8051075704968037,0.7979750412055568,0.7881105567226891,0.7769672564034856,0.782666163141994,0.7867330462863295,0.7829765545361875,0.7832866278652008,0.7835186846005201,0.020032301801665646
AT2,0.03796275763614153,0.03794264311854395,0.041090317331163556,0.04356846473029045,0.04398340248962656,0.04088225530635628,0.03682523905172822,0.037225908076038004,0.04024456149832681,0.036711393410739604,0.03710581291074543,0.03703940267805386,0.040789112404394395,0.04240556774168548,0.03749703618651817,0.03287726634373816,0.03482672311498144,0.03512680042464428,0.033323313098142085,0.03253285347490156,0.02826481756645204,0.02776499967142012,0.028425868838628025,0.03161895791987621,0.041360294117647065,0.05023765513599155,0.04865307150050354,0.042619752421959096,0.04447842337750594,0.04221455773514406,0.038186640977062924,0.005587303161815777
AT3,0.1808769539618622,0.18202690671190674,0.21440195280716032,0.21493775933609957,0.21950207468879668,0.20710483056831472,0.19757380665027163,0.20066261920984046,0.18952476272330823,0.18203705135571605,0.17459164902396135,0.17147835236193334,0.17056711363060326,0.15818048268137952,0.15354653504258772,0.1609765564342378,0.16341864713016313,0.16382924662927176,0.17225420638396835,0.17188633053297703,0.16301799570744593,0.1698757968062036,0.16646656066456822,0.17040600087456692,0.17052914915966388,0.17279508846052283,0.16868076535750257,0.17064720129171151,0.17254502208630645,0.1744988143996551,0.17829467442241698,0.01756517710695825
BE2,0.3305108358018683,0.33051083580186835,0.3305108358018683,0.3515240904621435,0.3471400394477317,0.3464114832535885,0.3439334637964775,0.3425704730052556,0.352087114337568,0.30807522123893805,,0.2906077348066298,0.33399209486166004,0.32112393376818865,,,,,0.3343750000000001,0.33711583924349886,0.3406392694063927,,,,0.3101889306619712,0.32067109844887626,0.3287142524994187,0.3217766497461929,0.31464478071300334,0.3195566502463055,0.32984911942497475,0.015538665418985513
BE3,0.6694891641981316,0.6694891641981316,0.6694891641981316,0.6484759095378565,0.6528599605522682,0.6535885167464114,0.6560665362035225,0.6574295269947444,0.647912885662432,0.691924778761062,,0.7093922651933702,0.66600790513834,0.6788760662318113,,,,,0.665625,0.6628841607565011,0.6593607305936073,,,,0.6898110693380288,0.6793289015511238,0.6712857475005812,0.6782233502538071,0.6853552192869966,0.6804433497536946,0.6701508805750253,0.015538665418985515
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
