region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
AT2,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
AT3,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,
BE2,,,,,,,,,,,,,,,,,,,,,,0.75,0.7523809523809524,0.7272727272727273,0.6444636678200691,0.3318809005083515,0.3184840425531915,0.30434782608695654,0.29078498293515354,0.28997289972899726,0.48995422214293327,0.21942672009245182
BE3,,,,,,,,,,,,,,,,,,,,,,0.25,0.24761904761904763,0.27272727272727276,0.3555363321799308,0.6681190994916485,0.6815159574468086,0.6956521739130435,0.7092150170648465,0.7100271002710027,0.5100457778570667,0.2194267200924518
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ES11,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,
ES12,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,
ES13,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,0.0
ES21,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,
ES22,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,
ES23,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,
ES24,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,
ES30,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,
ES41,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,
ES42,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,
ES43,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,
ES51,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,
ES52,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,
ES53,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,
ES61,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,
ES62,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,
FI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
FR10,,,,,,,,,,,,,,,,,,0.02859025032938076,0.028495496825631187,0.028515763372298976,0.028276237085372483,0.028252299605781867,0.028173190984578884,0.02819455894476505,0.02826642610133814,0.028274375554710282,0.028025765623234264,0.02799837100386887,0.02804797431296629,0.025394477317554242,0.027927064529843053,0.0008157861343298346
FRB0,,,,,,,,,,,,,,,,,,0.005138339920948616,0.005167577144544516,0.006199078993978038,0.006344027551205364,0.007555847568988174,0.007562277580071175,0.005441055234954659,0.006314839873703202,0.005071636870800051,0.005085320375183637,0.00509061290979434,0.005099631693266598,0.005095332018408942,0.005758913766837227,0.000931077445528209
FRC1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FRC2,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FRD1,,,,,,,,,,,,,,,,,,0.10184453227931489,0.1008415768492544,0.08289054197662062,0.09316657603770163,0.09658344283837057,0.09712336892052195,0.08441879637262986,0.0912644715080439,0.0921770001267909,0.09097073115606284,0.0918346568926899,0.09141561998300124,0.0977975016436555,0.0928842340079988,0.00562186577720811
FRD2,,,,,,,,,,,,,,,,,,0.5486166007905138,0.5440720507899012,0.5279844137442438,0.5265542867500452,0.5443495400788437,0.5465599051008304,0.5490519373454246,0.5457825890843482,0.5325218714340053,0.527743247824613,0.5249440032579924,0.52063462083294,0.5047666009204471,0.531992026978983,0.013519575324270842
FRE1,,,,,,,,,,,,,,,,,,0.15968379446640313,0.1672818544219696,0.1834927382217499,0.17781402936378465,0.17559132720105125,0.17838078291814946,0.18829348722176426,0.1789204630882574,0.1819449727399518,0.17866425584811846,0.177153329260843,0.1751817924261026,0.17389875082182776,0.17593429291300874,0.007133869460143847
FRE2,,,,,,,,,,,,,,,,,,0.1499341238471673,0.14808799645651854,0.16489550123981583,0.1598694942903752,0.14060446780551908,0.13523131672597863,0.13652102225886234,0.14163283716734323,0.15024724229745148,0.1565148604362075,0.1603543066585217,0.16781565775805082,0.18104865220249838,0.15267784571472695,0.01345215905651535
FRF1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017750729047800178,0.0,0.0,0.0,0.0,0.0017679953677363694,
FRF2,,,,,,,,,,,,,,,,,,0.006192358366271409,0.006053447512180718,0.006021962451292952,0.005981511691136487,0.0060775295663600525,0.005931198102016608,0.005935696619950536,0.006014133213050669,0.005959173323190059,0.006328398689117416,0.006006923233557321,0.006705071300406082,0.0064924391847468775,0.006106312734521456,0.00023851579085272311
FRF3,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0005437737901033169,0.000492772667542707,0.0005931198102016608,0.000494641384995878,0.0006014133213050668,0.000507163687080005,0.0045202847779410105,0.004479739360619019,0.004533005949570309,0.004520052596975675,0.002120109634075629,0.0020527679437592154
FRG0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.001154163231657049,0.0009021199819576002,0.0011411182959300114,0.0018081139111764042,0.0018326206475259624,0.0001888752478987629,0.0006574621959237344,0.0010934048749890206,0.0005927187049158562
FRH0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.000181257930034439,0.000328515111695138,0.0002965599051008304,0.0003297609233305854,0.0003007066606525334,0.00038037276531000376,0.00033902135834557577,0.00030543677458766036,0.0003777504957975258,0.0003287310979618672,0.0003155481182615644,5.5644965855780844e-05
FRI1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.000164257555847569,0.0001482799525504152,0.0001648804616652927,0.0,0.0,0.0,0.0,0.0,0.0,0.00015850480606045472,9.409646837617456e-06
FRI2,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FRI3,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FRJ1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.000181257930034439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001805352218511192,
FRJ2,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0010875475802066337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001083211331106715,
FRK1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FRK2,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FRL0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FRM0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
HR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
HU1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HU2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HU3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.05263157894736842,0.10843373493975902,0.2909090909090909,0.1267605633802817,0.13006638142051163,0.10245447237668623
ITF,,,,,,,,,,,,,,,,,,,,,,,,,,0.07142857142857142,0.0,0.0,0.0,0.0,0.06421216153586538,
ITG,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
ITH,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.09638554216867469,0.07272727272727272,0.028169014084507043,0.059116832462724915,0.034637760777547405
ITI,,,,,,,,,,,,,,,,,,,,,,,,,,0.9285714285714285,0.9473684210526315,0.7951807228915663,0.6363636363636362,0.8450704225352113,0.746604624580898,0.12492488601027925
LT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
LU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
LV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ME,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
MK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
NL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
