region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,0.21319796954314724,0.22282608695652173,0.22282608695652173,0.2408376963350785,0.2408376963350785,0.2185792349726776,0.2185792349726776,0.22857142857142856,,,,,,,,,,,,,,,,,,,,,0.22578192933039143,0.010286754384999791
AT2,,,0.6192893401015228,0.6304347826086957,0.6304347826086957,0.5654450261780105,0.5654450261780105,0.5846994535519126,0.5846994535519126,0.5885714285714286,,,,,,,,,,,,,,,,,,,,,0.5961274116687736,0.02696975348994557
AT3,,,0.16751269035532995,0.14673913043478262,0.14673913043478262,0.19371727748691098,0.19371727748691098,0.19672131147540983,0.19672131147540983,0.18285714285714286,,,,,,,,,,,,,,,,,,,,,0.17809065900083496,0.021656520990056265
BE2,,,,,,,,0.9210526315789475,0.91875,0.9135802469135803,,,,,,,,,,,,,,,,,,,,,0.9177942928308426,0.0038267695634422046
BE3,,,,,,,,0.07894736842105263,0.08125,0.08641975308641975,,,,,,,,,,,,,,,,,,,,,0.08220570716915745,0.003826769563442205
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,0.32954545454545453,0.31120943952802355,,,,,,,,,,,,,,,,,,,,,0.3203774470367391,0.012965520558763821
DE2,,,,,,,,,0.10511363636363635,0.10914454277286134,,,,,,,,,,,,,,,,,,,,,0.10712908956824886,0.0028502812562913055
DE4,,,,,,,,,0.056818181818181816,0.0575221238938053,,,,,,,,,,,,,,,,,,,,,0.05717015285599356,0.0004977622152359002
DE7,,,,,,,,,0.01846590909090909,0.0191740412979351,,,,,,,,,,,,,,,,,,,,,0.018819975194422096,0.0005007250855646886
DE8,,,,,,,,,0.03125,0.032448377581120944,,,,,,,,,,,,,,,,,,,,,0.03184918879056048,0.000847380914032551
DE9,,,,,,,,,0.15198863636363635,0.1563421828908554,,,,,,,,,,,,,,,,,,,,,0.15416540962724593,0.003078422271607742
DEA,,,,,,,,,0.05113636363636363,0.053097345132743355,,,,,,,,,,,,,,,,,,,,,0.0521168543845535,0.001386623313871445
DEB,,,,,,,,,0.09232954545454544,0.09292035398230086,,,,,,,,,,,,,,,,,,,,,0.09262494971842317,0.0004177647163586987
DEC,,,,,,,,,0.002840909090909091,0.002949852507374631,,,,,,,,,,,,,,,,,,,,,0.002895380799141861,7.703462854841337e-05
DED,,,,,,,,,0.06818181818181818,0.07079646017699114,,,,,,,,,,,,,,,,,,,,,0.06948913917940468,0.0018488310851619235
DEE,,,,,,,,,0.03551136363636363,0.03539823008849557,,,,,,,,,,,,,,,,,,,,,0.035454796862429604,7.999749887720148e-05
DEF,,,,,,,,,0.015625,0.016224188790560472,,,,,,,,,,,,,,,,,,,,,0.01592459439528024,0.0004236904570162755
DEG,,,,,,,,,0.041193181818181816,0.042772861356932146,,,,,,,,,,,,,,,,,,,,,0.04198302158755699,0.0011170021139519956
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ES11,,,,,,,0.0016394786457906384,0.0020783373301358913,0.001919539310565464,0.0020880179890780596,,,,,,,,,,,,,,,,,,,,,0.0019313433188925136,0.00020934701147187602
ES12,,,,,,,0.005574227395688171,0.005435651478816947,0.005438694713268815,0.005460970125281079,,,,,,,,,,,,,,,,,,,,,0.005477385928263754,6.554012203450422e-05
ES13,,,,,,,0.00024592179686859576,0.0002398081534772182,0.000239942413820683,0.00024092515258592996,,,,,,,,,,,,,,,,,,,,,0.00024164937918810675,2.8914759721104805e-06
ES21,,,,,,,0.001967374374948766,0.0019984012789768186,0.0019995201151723585,0.0019274012206874397,,,,,,,,,,,,,,,,,,,,,0.0019731742474463462,3.395740648584998e-05
ES22,,,,,,,0.0069677842446102135,0.006794564348521183,0.00663840678237223,0.006585287504015418,,,,,,,,,,,,,,,,,,,,,0.0067465107198797615,0.00017219224780316375
ES23,,,,,,,0.013853594556930894,0.01310951239008793,0.013036871150923777,0.012769033087054288,,,,,,,,,,,,,,,,,,,,,0.013192252796249224,0.00046457051032409004
ES24,,,,,,,0.09025329945077465,0.09072741806554756,0.09117811725185954,0.09564728557661419,,,,,,,,,,,,,,,,,,,,,0.091951530086199,0.0024926032969201863
ES30,,,,,,,0.0004098696614476596,0.0003996802557953637,0.00039990402303447165,0.00040154192097654996,,,,,,,,,,,,,,,,,,,,,0.0004027489653135113,4.81912662018413e-06
ES41,,,,,,,0.0063119927862939585,0.005995203836930456,0.0059185795409101806,0.0059428204304529395,,,,,,,,,,,,,,,,,,,,,0.006042149148646884,0.00018271571113345552
ES42,,,,,,,0.038117878514632345,0.03844924060751399,0.03967047908501959,0.039672341792483135,,,,,,,,,,,,,,,,,,,,,0.03897748499991227,0.0008126155736901126
ES43,,,,,,,0.019017952291171404,0.01870503597122302,0.018475565864192592,0.01871185351750723,,,,,,,,,,,,,,,,,,,,,0.018727601911023566,0.0002225479316848443
ES51,,,,,,,0.13001065661119762,0.1270183852917666,0.12796928737103094,0.12487953742370703,,,,,,,,,,,,,,,,,,,,,0.12746946667442557,0.0021306239274772446
ES52,,,,,,,0.28535125829986063,0.28729016786570744,0.2818523554346956,0.2794731769996788,,,,,,,,,,,,,,,,,,,,,0.2834917396499857,0.003498680365461994
ES53,,,,,,,0.06516927617017788,0.06354916067146282,0.063584739662481,0.061757147446193386,,,,,,,,,,,,,,,,,,,,,0.06351508098757878,0.001394358370231585
ES61,,,,,,,0.2187064513484712,0.22605915267785773,0.22978485163560744,0.23080629617732087,,,,,,,,,,,,,,,,,,,,,0.22633918795981434,0.005482236220463113
ES62,,,,,,,0.11640298385113533,0.11215027977617907,0.11189314564504518,0.11363636363636363,,,,,,,,,,,,,,,,,,,,,0.11352069322718082,0.0020694542793772692
FI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
FR10,0.011494252873563218,0.010805943268797837,0.01020408163265306,0.009536194191590812,0.009259259259259257,0.008155867693701859,0.007400555041628123,0.007518796992481204,0.007221954742416948,0.006839276990718123,,,,,,,,,,,,,,,,,,,,,0.008843618268681044,0.0016444392126505605
FRB0,0.038620689655172416,0.038271049076992344,0.03815439219165927,0.0377113133940182,0.0374779541446208,0.035795197100135935,0.03515263644773358,0.03571428571428571,0.034183919114106884,0.03517342452369321,,,,,,,,,,,,,,,,,,,,,0.036625486136241836,0.0015878243496075613
FRC1,0.007816091954022988,0.00810445745159838,0.0075421472937000885,0.007802340702210663,0.007936507936507934,0.008155867693701859,0.00786308973172988,0.00798872180451128,0.007703418391911411,0.007816316560820713,,,,,,,,,,,,,,,,,,,,,0.00787289595207152,0.00018280994765147696
FRC2,0.0009195402298850575,0.0009004952723998199,0.0013309671694764862,0.0017338534893801476,0.0017636684303350965,0.0018124150430448576,0.0018501387604070308,0.001879699248120301,0.0019258545979778528,0.0019540791402051783,,,,,,,,,,,,,,,,,,,,,0.0016070711381231829,0.0004063919296366123
FRD1,0.011494252873563218,0.011706438541197657,0.011978704525288377,0.01213697442566103,0.012786596119929449,0.015405527865881287,0.016188714153561518,0.01691729323308271,0.017332691381800675,0.0180752320468979,,,,,,,,,,,,,,,,,,,,,0.01440224251668638,0.002623419676374509
FRD2,0.006896551724137931,0.007654209815398468,0.0075421472937000885,0.007802340702210663,0.010141093474426804,0.010874490258269144,0.011100832562442183,0.011278195488721806,0.01203659123736158,0.011724474841231068,,,,,,,,,,,,,,,,,,,,,0.009705092739789974,0.001996856978946224
FRE1,0.0022988505747126436,0.002701485817199459,0.0026619343389529724,0.0030342436064152577,0.003527336860670193,0.0031717263253285004,0.0027752081406105457,0.0028195488721804514,0.003370245546461242,0.002931118710307767,,,,,,,,,,,,,,,,,,,,,0.002929169879283903,0.0003618636439664765
FRE2,0.010114942528735633,0.010805943268797837,0.011091393078970719,0.011703511053315995,0.011904761904761902,0.010874490258269144,0.011100832562442183,0.010808270676691729,0.010110736639383727,0.010258915486077186,,,,,,,,,,,,,,,,,,,,,0.010877379745744606,0.0006142002651871867
