region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.6230493462673977,0.6254061078622482,0.6211795606494747,0.6126060606060606,0.6134177523438452,0.610603064755314,0.6240547353258912,0.6315293007900011,0.6348695962843873,0.6318389526985303,0.6364622243643813,0.6352498786996604,0.6375138189411621,0.640158063719437,0.6412896898369499,0.6428840597914836,0.6421215242018539,0.6426282051282051,0.63935790725327,0.6424380313734882,0.6417300040650907,0.6376102467545338,0.6399921134674865,0.6524916774020739,0.6399579780002472,0.6371030754845073,0.637362777473193,0.6346723698111263,0.639086450817778,0.6378237741341336,0.6342162782767737,0.009955424763891642
AT2,0.1580556727119359,0.15442928308425383,0.15795128939828082,0.16484848484848486,0.162303664921466,0.1670785961443401,0.15796422998439563,0.15269425775262352,0.15124449208050494,0.15129060145732987,0.14736715266899628,0.14713731198447355,0.14482250337796343,0.14373919486292913,0.14380286870172856,0.13955533224469288,0.13928939237899074,0.1394230769230769,0.139833531510107,0.13710932822416477,0.13515810739230588,0.1377093449608562,0.13610429939249055,0.1258147217509981,0.1349029786182178,0.1325237930548617,0.1321798778544198,0.13616686850988174,0.13315531363134517,0.13561483275158104,0.14464234677258986,0.01087716485335746
AT3,0.21889498102066637,0.22016460905349794,0.22086914995224452,0.22254545454545455,0.2242785827346889,0.22231833910034604,0.2179810346897131,0.21577644145737532,0.21388591163510776,0.21687044584413978,0.2161706229666225,0.2176128093158661,0.2176636776808746,0.216102741417634,0.21490744146132157,0.21756060796382365,0.21858908341915553,0.21794871794871795,0.22080856123662304,0.22045264040234702,0.22311188854260336,0.22468040828461006,0.2239035871400229,0.221693600846928,0.22513904338153506,0.23037313146063096,0.2304573446723872,0.22916076167899202,0.22775823555087685,0.22656139311428536,0.22114137495063635,0.004632531298595705
BE2,0.3745139096619802,0.3721004130918335,0.36307989690721654,0.3894230769230769,0.39993533785968316,0.4001944264419961,0.3896809232858112,0.3882978723404255,0.39900093662191694,0.3885734563520227,0.4136610277689116,0.3947001394700139,0.4262242268041238,0.4341336794289422,0.4407894736842105,0.4438237119801366,0.44218512898330803,0.44663432383262586,0.44175158358578903,0.4397101449275362,0.44041297935103246,0.43425076452599387,0.4441512752858399,0.42492581602373886,0.41942757501052247,0.41702377458174344,0.4140208885053709,0.41343754104820707,0.4194813325864171,0.4075641025641025,0.41410365798115095,0.024279179069532055
BE3,0.6254860903380197,0.6278995869081665,0.6369201030927835,0.6105769230769231,0.6000646621403168,0.5998055735580038,0.6103190767141887,0.6117021276595744,0.6009990633780831,0.6114265436479773,0.5863389722310884,0.605299860529986,0.5737757731958764,0.5658663205710577,0.5592105263157895,0.5561762880198634,0.557814871016692,0.5533656761673742,0.5582484164142109,0.5602898550724638,0.5595870206489675,0.5657492354740061,0.55584872471416,0.5750741839762612,0.5805724249894775,0.5829762254182564,0.5859791114946291,0.586562458951793,0.5805186674135829,0.5924358974358974,0.585896342018849,0.024279179069532048
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
