region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,0.9450171821305842,0.9375,0.9375,0.9334532374100719,0.9334532374100719,0.9371428571428572,0.9371428571428572,0.92578125,,,,,,,,,,,,,,,,,,,,,0.9358738276545553,0.005420718372654785
AT2,,,0.054982817869415807,0.0625,0.0625,0.06654676258992806,0.06654676258992806,0.06285714285714285,0.06285714285714285,0.07421875,,,,,,,,,,,,,,,,,,,,,0.06412617234544471,0.005420718372654787
AT3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
BE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,0.24677898909811696,0.2455621301775148,0.23671013039117353,,,,,,,,,,,,,,,,,,,,,0.24301708322226848,0.0054957644525947666
DE2,,,,,,,,0.056491575817641235,0.05719921104536489,0.058174523570712136,,,,,,,,,,,,,,,,,,,,,0.057288436811239435,0.0008450143270167205
DE4,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DE7,,,,,,,,0.03369672943508424,0.03451676528599606,0.03510531594784353,,,,,,,,,,,,,,,,,,,,,0.03443960355630795,0.0007074563169399157
DE8,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DE9,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEA,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEB,,,,,,,,0.6541129831516354,0.6538461538461539,0.6609829488465396,,,,,,,,,,,,,,,,,,,,,0.6563140286147764,0.004045603980556277
DEC,,,,,,,,0.000991080277502478,0.0009861932938856016,0.0010030090270812437,,,,,,,,,,,,,,,,,,,,,0.000993427532823108,8.650111350839585e-06
DED,,,,,,,,0.002973240832507433,0.0029585798816568047,0.003009027081243731,,,,,,,,,,,,,,,,,,,,,0.0029802825984693235,2.595033405251882e-05
DEE,,,,,,,,0.004955401387512389,0.004930966469428008,0.0050150451354062184,,,,,,,,,,,,,,,,,,,,,0.0049671376641155385,4.3250556754197935e-05
DEF,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEG,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ES11,,,,,,,0.024832855778414518,0.024169709615719005,0.024817771607080874,0.02638793694311172,,,,,,,,,,,,,,,,,,,,,0.02505206848608153,0.0009427001908185173
ES12,,,,,,,8.682816705739342e-05,8.69414014953921e-05,8.677542519958348e-05,8.567511994516793e-05,,,,,,,,,,,,,,,,,,,,,8.655502842438423e-05,5.906782917847228e-07
ES13,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
ES21,,,,,,,0.009811582877485457,0.009824378368979309,0.010065949323151682,0.010195339273474983,,,,,,,,,,,,,,,,,,,,,0.009974312460772858,0.00018815890061217195
ES22,,,,,,,0.01606321090561778,0.016605807685619894,0.017007983339118363,0.017649074708704592,,,,,,,,,,,,,,,,,,,,,0.01683151915976516,0.0006685257225538096
ES23,,,,,,,0.03151862464183381,0.03216831855329508,0.032280458174245054,0.03324194653872515,,,,,,,,,,,,,,,,,,,,,0.03230233697702477,0.0007107533028834762
ES24,,,,,,,0.042545801858122775,0.0418188141192836,0.04191253037139881,0.04189513365318711,,,,,,,,,,,,,,,,,,,,,0.042043070000498076,0.0003376170308456743
ES30,,,,,,,0.014239819397412519,0.017562163102069202,0.016574106213120443,0.015935572309801235,,,,,,,,,,,,,,,,,,,,,0.01607791525560085,0.0013961918485864996
ES41,,,,,,,0.06095337327429018,0.06103286384976526,0.06048247136410968,0.05962988348183687,,,,,,,,,,,,,,,,,,,,,0.0605246479925005,0.0006440680922455673
ES42,,,,,,,0.5058609012763741,0.5073030777256129,0.5152724748351266,0.5092529129540782,,,,,,,,,,,,,,,,,,,,,0.509422341697798,0.004140366388087851
ES43,,,,,,,0.06911522097768516,0.06659711354547035,0.06629642485248177,0.07376627827278957,,,,,,,,,,,,,,,,,,,,,0.06894375941210672,0.0034545242954758444
ES51,,,,,,,0.05626465225319093,0.05625108676751869,0.05605692467893092,0.05551747772446881,,,,,,,,,,,,,,,,,,,,,0.05602253535602734,0.00034982003769180934
ES52,,,,,,,0.08205261786923677,0.07850808555033907,0.07731690385282887,0.07616518163125428,,,,,,,,,,,,,,,,,,,,,0.07851069722591475,0.0025476652505682673
