region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,,,,,,,,,,,,,,,,,,,0.8181818181818181,0.8846153846153846,0.851063829787234,0.8928571428571428,0.879120879120879,,,,,,0.8651678109124918,0.03060310905515553
AT2,,,,,,,,,,,,,,,,,,,,,0.01818181818181818,0.019230769230769232,0.02127659574468085,0.017857142857142856,0.05494505494505494,,,,,,0.02629827619189322,0.016069649068168802
AT3,,,,,,,,,,,,,,,,,,,,,0.1636363636363636,0.09615384615384616,0.1276595744680851,0.08928571428571429,0.06593406593406592,,,,,,0.10853391289561504,0.03788329833721426
BE2,,,,,,,,,,,,,,,,,,,,,,,,,0.14814814814814814,,,,,,0.14814814814814814,
BE3,,,,,,,,,,,,,,,,,,,,,,,,,0.8518518518518519,,,,,,0.8518518518518519,
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
