region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,,,,,,,,,,,,,,,,,,,0.5385216614560071,0.5403925148334094,0.5259336099585062,0.5272684254110966,0.5136644486692015,0.5319148936170213,0.5319474556816733,0.5492572322126662,0.5512227362855254,0.5547667342799188,0.5364889712405025,0.012877624530532684
AT2,,,,,,,,,,,,,,,,,,,,,0.14694059848146493,0.1532405294386125,0.16505301982480405,0.16408375724594818,0.16848859315589354,0.1552946930789924,0.1684734090039536,0.15363565285379202,0.14857898215465962,0.13552231237322515,0.15593115476113464,0.010692624763610265
AT3,,,,,,,,,,,,,,,,,,,,,0.31453774006252794,0.3063669557279781,0.3090133702166897,0.30864781734295516,0.31784695817490494,0.31279041330398627,0.29957913531437314,0.29710711493354186,0.30019828155981493,0.309710953346856,0.3075798739983628,0.006817959377621223
BE2,,,,,,,,,,,,,,,,,,,,,,0.5,0.09677419354838711,0.09677419354838711,0.0906344410876133,0.3518930957683742,0.3507109004739336,0.32189973614775724,0.22040816326530613,0.23640167364016737,0.251721821942214,0.14211880885130826
BE3,,,,,,,,,,,,,,,,,,,,,,0.5,0.903225806451613,0.903225806451613,0.9093655589123868,0.6481069042316259,0.6492890995260663,0.6781002638522426,0.7795918367346938,0.7635983263598327,0.748278178057786,0.1421188088513083
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,,,,,,,,,,,0.14611723548793884,,,0.1202925045703839,0.12052593133674216,0.14053426248548198,0.1461361897475134,0.14958044509303176,0.1459879816189466,0.14397905759162305,0.13914420099145772,0.011835770077355198
