region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,,,,,,,,,,,,,,,,,,,0.5568096313017307,0.5690894568690096,0.5745366639806607,0.5986189037548554,0.5929583512237012,0.5765957446808511,0.5757441137272324,0.5981067125645438,0.6083916083916083,0.6087378640776699,0.5859589050571863,0.01775037076873361
AT2,,,,,,,,,,,,,,,,,,,,,0.07674943566591423,0.0786741214057508,0.07292506043513296,0.06560207164436772,0.060970373550880204,0.07829787234042554,0.09062638827187917,0.06669535283993115,0.062004662004662,0.07038834951456312,0.07229336876735068,0.009110014535288705
AT3,,,,,,,,,,,,,,,,,,,,,0.3664409330323552,0.3522364217252396,0.3525382755842063,0.3357790246007769,0.3460712752254187,0.34510638297872337,0.33362949800088854,0.33519793459552494,0.3296037296037296,0.32087378640776704,0.341747726175463,0.013307498382272123
BE2,,,,,,,,,,,,,,,,,,,,,,0.25,0.20689655172413793,0.15789473684210525,0.17161716171617164,0.17346938775510204,0.15109890109890112,0.13,0.13119533527696792,0.10498687664041995,0.16412877233931178,0.04373508704886833
BE3,,,,,,,,,,,,,,,,,,,,,,0.75,0.793103448275862,0.8421052631578947,0.8283828382838284,0.826530612244898,0.8489010989010989,0.87,0.868804664723032,0.89501312335958,0.8358712276606882,0.043735087048868325
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
