region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.7984375,0.8232819074333801,0.709251101321586,0.7096774193548387,0.7387158296249206,0.7870722433460076,0.7882836587872558,0.8111111111111111,0.7970244420828906,0.8020257826887661,0.8320463320463322,0.8288770053475936,0.8086642599277978,0.7482993197278912,0.7090395480225988,0.6940509915014165,0.704225352112676,0.7092783505154638,0.714795008912656,0.7385964912280703,0.7606392863779966,0.7598359127354094,0.759584378359011,0.7530737704918032,0.7759893959477372,0.805222488675726,0.7992939989914272,0.7812885707232782,0.768641975308642,0.7684181262162914,0.7661580519640192,0.04121042311503821
AT2,0.0125,0.01262272089761571,0.10719530102790015,0.09811827956989248,0.0839160839160839,0.0403041825095057,0.045220966084275435,0.06111111111111111,0.07757704569606802,0.06077348066298342,0.017374517374517374,0.017825311942959002,0.018050541516245487,0.020408163265306124,0.02259887005649717,0.0169971671388102,0.018779342723004695,0.020618556701030927,0.017825311942959002,0.015789473684210527,0.013937929752834045,0.010255454036919636,0.012182013615191688,0.013148907103825136,0.009467903806097331,0.003996802557953637,0.009581442259203229,0.005677610466551469,0.007654320987654321,0.007228245760355852,0.02929123527225209,0.028958579324418796
AT3,0.1890625,0.1640953716690042,0.18355359765051396,0.19220430107526884,0.17736808645899552,0.17262357414448667,0.16649537512846863,0.12777777777777777,0.12539851222104145,0.13720073664825047,0.15057915057915058,0.1532976827094474,0.17328519855595667,0.23129251700680273,0.2683615819209039,0.28895184135977336,0.27699530516431925,0.27010309278350514,0.26737967914438504,0.24561403508771928,0.2254227838691693,0.2299086332276711,0.2282336080257972,0.23377732240437157,0.2145427002461655,0.19078070876632028,0.19112455874936965,0.21303381881017036,0.2237037037037037,0.22435362802335282,0.20455071276372877,0.045399646499933624
BE2,0.01886792452830189,0.014084507042253523,0.017241379310344827,0.045454545454545456,0.04918032786885246,0.053571428571428575,0.04081632653061224,0.02173913043478261,0.018181818181818184,0.029411764705882356,0.0425531914893617,0.02,0.019607843137254905,0.02173913043478261,0.01785714285714286,0.01785714285714286,0.09375,0.10091743119266056,0.04651162790697675,0.051546391752577324,0.061946902654867256,0.08333333333333333,0.055999999999999994,0.04929577464788732,0.046913580246913576,0.0516934046345811,0.040421792618629174,0.05679702048417132,0.054512957998212694,0.06427015250544663,0.04353579911269214,0.023015796352615768
BE3,0.9811320754716982,0.9859154929577465,0.9827586206896552,0.9545454545454545,0.9508196721311476,0.9464285714285715,0.9591836734693877,0.9782608695652175,0.9818181818181819,0.9705882352941176,0.9574468085106382,0.9800000000000001,0.9803921568627452,0.9782608695652175,0.9821428571428572,0.9821428571428572,0.90625,0.8990825688073395,0.9534883720930232,0.9484536082474226,0.9380530973451328,0.9166666666666666,0.9440000000000001,0.9507042253521127,0.9530864197530864,0.9483065953654188,0.9595782073813708,0.9432029795158288,0.9454870420017873,0.9357298474945533,0.9564642008873079,0.023015796352615792
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
