region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,,,,,,,,,,,,,,,,,,,0.9185360094451003,0.9226277372262773,0.8990182328190742,0.8839590443686007,0.8060165975103735,,,,,,0.8860315242738853,0.047358110803399384
AT2,,,,,,,,,,,,,,,,,,,,,0.023612750885478158,0.0218978102189781,0.03927068723702665,0.06825938566552901,0.1327800829875519,,,,,,0.05716414339891277,0.046180246561148
AT3,,,,,,,,,,,,,,,,,,,,,0.05785123966942148,0.05547445255474452,0.06171107994389901,0.04778156996587031,0.06120331950207469,,,,,,0.056804332327202015,0.005650267607824089
BE2,,,,,,,,,,,,,,,,,,,,,,0.0,0.03333333333333333,0.028571428571428574,0.034031413612565446,,,,,,0.03172509316360519,0.00297137705694241
BE3,,,,,,,,,,,,,,,,,,,,,,1.0,0.9666666666666667,0.9714285714285714,0.9659685863874345,,,,,,0.9682749068363948,0.016172376767913044
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ES11,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
ES12,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
ES13,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
ES21,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
ES22,,,,,,,,,,,,,,,,,,,,,0.0028129395218002818,0.0,0.0,0.0,0.0,,,,,,0.002777083449589815,
ES23,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
ES24,,,,,,,,,,,,,,,,,,,,,0.0014064697609001409,0.02210663198959688,0.041221374045801534,0.03269447576099211,0.010773751224289913,,,,,,0.021364692185298097,0.016072651431988834
ES30,,,,,,,,,,,,,,,,,,,,,0.12517580872011252,0.0013003901170351106,0.003053435114503817,0.0011273957158962798,0.0,,,,,,0.032247891560613,0.06168050405085542
ES41,,,,,,,,,,,,,,,,,,,,,0.06469760900140648,0.053315994798439535,0.04580152671755726,0.028184892897406992,0.06660137120470129,,,,,,0.05106100913105086,0.015663255852940223
ES42,,,,,,,,,,,,,,,,,,,,,0.03234880450070324,0.03901170351105332,0.024427480916030538,0.03269447576099211,0.05484818805093047,,,,,,0.036198753480494714,0.011404898271409667
ES43,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.003053435114503817,0.0,0.0,,,,,,0.003014513484974593,
ES51,,,,,,,,,,,,,,,,,,,,,0.07594936708860761,0.10013003901170352,0.09160305343511452,0.0552423900789177,0.05974534769833497,,,,,,0.07555847279135067,0.019489630083990822
ES52,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0009794319294809011,,,,,,0.0009669472735839168,
ES53,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0011273957158962798,0.0,,,,,,0.0011130249902245538,
ES61,,,,,,,,,,,,,,,,,,,,,0.6976090014064699,0.7841352405721718,0.7908396946564886,0.8489289740698986,0.8070519098922626,,,,,,0.7756976116528198,0.0553233570566526
ES62,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
FI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
FR10,,,,,,,,,,,,,,,,,,0.005584756898817347,0.005467800729040097,0.006167647883375387,0.008590604026845639,0.005909389363099146,0.005909389363099146,0.007215332581736189,,,,,,,0.006346440616101709,0.0011204334613102687
FRB0,,,,,,,,,,,,,,,,,,0.5574901445466491,0.6008505467800729,0.5867675918138493,0.5422818791946309,0.5942219304005254,0.5942219304005254,0.649379932356257,,,,,,,0.5837991215804519,0.034206349373366605
FRC1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
FRC2,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
FRD1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.005636978579481398,,,,,,,0.00558420538910767,
FRD2,,,,,,,,,,,,,,,,,,0.00328515111695138,0.0015188335358444715,0.0005606952621250352,0.0024161073825503354,0.0006565988181221274,0.0006565988181221274,0.0,,,,,,,0.001501474562400233,0.0011251528120163187
FRE1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
FRE2,,,,,,,,,,,,,,,,,,0.0,0.00030376670716889426,0.0011213905242500703,0.001342281879194631,0.0013131976362442549,0.0013131976362442549,0.0,,,,,,,0.0010686674999869905,0.00044209664008123075
FRF1,,,,,,,,,,,,,,,,,,0.00328515111695138,0.003037667071688943,0.002803476310625176,0.0005369127516778524,0.0009848982271831912,0.0009848982271831912,0.0011273957158962795,,,,,,,0.001805848145936076,0.0011631387579572863
