region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,,,,,,,,,,,,,,,,,,,0.47368421052631576,0.47368421052631576,0.4444444444444445,0.4705882352941177,0.3888888888888889,,,,,,0.4502579979360165,0.03643781817400067
AT2,,,,,,,,,,,,,,,,,,,,,0.05263157894736842,0.10526315789473684,0.11111111111111112,0.17647058823529413,0.2222222222222222,,,,,,0.13353973168214656,0.0662502441459766
AT3,,,,,,,,,,,,,,,,,,,,,0.47368421052631576,0.42105263157894735,0.4444444444444445,0.35294117647058826,0.3888888888888889,,,,,,0.41620227038183694,0.04709911531474249
BE2,,,,,,,,,,,,,,,,,,,,,,0.7222222222222222,0.41666666666666663,0.38541666666666663,0.7700831024930748,,,,,,0.5735971645121576,0.20061174153654063
BE3,,,,,,,,,,,,,,,,,,,,,,0.2777777777777778,0.5833333333333334,0.6145833333333333,0.2299168975069252,,,,,,0.42640283548784236,0.2006117415365406
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,,,,,,,,,,,0.061855670103092786,,,,,,,,,,0.06185567010309277,
DE2,,,,,,,,,,,,,,,,,,,,,0.09106529209621994,,,,,,,,,,0.09106529209621993,
DE4,,,,,,,,,,,,,,,,,,,,,0.04123711340206186,,,,,,,,,,0.041237113402061855,
DE7,,,,,,,,,,,,,,,,,,,,,0.06013745704467354,,,,,,,,,,0.06013745704467353,
DE8,,,,,,,,,,,,,,,,,,,,,0.04123711340206186,,,,,,,,,,0.041237113402061855,
DE9,,,,,,,,,,,,,,,,,,,,,0.10824742268041239,,,,,,,,,,0.10824742268041236,
DEA,,,,,,,,,,,,,,,,,,,,,0.3539518900343643,,,,,,,,,,0.3539518900343642,
DEB,,,,,,,,,,,,,,,,,,,,,0.030927835051546393,,,,,,,,,,0.030927835051546386,
DEC,,,,,,,,,,,,,,,,,,,,,0.005154639175257733,,,,,,,,,,0.005154639175257732,
DED,,,,,,,,,,,,,,,,,,,,,0.05326460481099657,,,,,,,,,,0.053264604810996555,
DEE,,,,,,,,,,,,,,,,,,,,,0.05326460481099657,,,,,,,,,,0.053264604810996555,
DEF,,,,,,,,,,,,,,,,,,,,,0.046391752577319596,,,,,,,,,,0.04639175257731959,
DEG,,,,,,,,,,,,,,,,,,,,,0.05326460481099657,,,,,,,,,,0.053264604810996555,
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ES11,,,,,,,,,,,,,,,,,,,,,0.7104247104247103,0.5842607313195548,0.5889520714865962,0.7486398258977149,0.7233160621761658,,,,,,0.6303210156646473,0.07838162029241547
ES12,,,,,,,,,,,,,,,,,,,,,0.02316602316602316,0.021462639109697933,0.01868399675060926,0.025027203482045703,0.027979274611398965,,,,,,0.021849606874916327,0.003520427222391659
ES13,,,,,,,,,,,,,,,,,,,,,0.004826254826254826,0.0039745627980922104,0.004061738424045492,0.006528835690968444,0.0051813471502590676,,,,,,0.004615789782082973,0.0010363105920724583
ES21,,,,,,,,,,,,,,,,,,,,,0.022200772200772198,0.016693163751987282,0.017059301380991064,0.022850924918389554,0.02176165803108808,,,,,,0.018890474023886675,0.002983012487776104
ES22,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
ES23,,,,,,,,,,,,,,,,,,,,,0.002895752895752895,0.001589825119236884,0.0024370430544272946,0.002176278563656148,0.0010362694300518134,,,,,,0.0019038093397483445,0.0007276365718567861
ES24,,,,,,,,,,,,,,,,,,,,,0.0,0.2647058823529412,0.25426482534524775,0.04026115342763874,0.03937823834196891,,,,,,0.1405550675988286,0.1268961503147724
ES30,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
ES41,,,,,,,,,,,,,,,,,,,,,0.0009652509652509652,0.006359300476947536,0.004061738424045492,0.005440696409140371,0.0062176165803108805,,,,,,0.004328741817152926,0.0022315532823706475
ES42,,,,,,,,,,,,,,,,,,,,,0.10714285714285714,0.000794912559618442,0.0,0.0,0.0,,,,,,0.050688087389392324,0.07519935278005925
ES43,,,,,,,,,,,,,,,,,,,,,0.0009652509652509652,0.000794912559618442,0.0,0.0,0.0,,,,,,0.0008265811199743093,0.00012044744171926192
ES51,,,,,,,,,,,,,,,,,,,,,0.0009652509652509652,0.0,0.0008123476848090983,0.0,0.0010362694300518134,,,,,,0.0008809371766718478,0.0001144290052864635
ES52,,,,,,,,,,,,,,,,,,,,,0.05019305019305019,0.041335453100158986,0.04792851340373679,0.059847660500544075,0.06424870466321243,,,,,,0.049506366078708335,0.009255618131925377
ES53,,,,,,,,,,,,,,,,,,,,,0.00579150579150579,0.0047694753577106515,0.004874086108854589,0.006528835690968444,0.0,,,,,,0.005157176376544635,0.0008303788710262907
ES61,,,,,,,,,,,,,,,,,,,,,0.06949806949806948,0.05325914149443561,0.05686433793663687,0.08161044613710555,0.10880829015544041,,,,,,0.06950906755481122,0.022436672734126237
ES62,,,,,,,,,,,,,,,,,,,,,0.0009652509652509652,0.0,0.0,0.001088139281828074,0.0010362694300518134,,,,,,0.000967279202634222,6.169230397318114e-05
FI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
FR10,,,,,,,,,,,,,,,,,,0.003401360544217687,0.003731343283582089,0.0041946308724832215,0.0035612535612535613,0.0038699690402476776,0.0038699690402476776,0.003541076487252125,,,,,,,0.0036285307705335866,0.00026668650855706037
FRB0,,,,,,,,,,,,,,,,,,0.01768707482993197,0.017910447761194027,0.018456375838926176,0.014245014245014245,0.01547987616099071,0.01547987616099071,0.0141643059490085,,,,,,,0.015726594814903506,0.001790314492759851
FRC1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
FRC2,,,,,,,,,,,,,,,,,,0.007482993197278911,0.008955223880597014,0.015939597315436243,0.009971509971509971,0.010835913312693499,0.010835913312693499,0.0113314447592068,,,,,,,0.01044796950492406,0.0026389347059307434
FRD1,,,,,,,,,,,,,,,,,,0.08367346938775509,0.08880597014925372,0.0964765100671141,0.07834757834757834,0.08513931888544891,0.08513931888544891,0.07790368271954676,,,,,,,0.08256673739319187,0.006358365966830007
FRD2,,,,,,,,,,,,,,,,,,0.16870748299319727,0.16940298507462684,0.18036912751677853,0.1588319088319088,0.2972136222910216,0.2972136222910216,0.15580736543909351,,,,,,,0.19793556044329091,0.0642146779033115
FRE1,,,,,,,,,,,,,,,,,,0.09319727891156462,0.10746268656716416,0.10738255033557047,0.344017094017094,0.11609907120743032,0.11609907120743032,0.2946175637393768,,,,,,,0.1634562582619598,0.1043511261663831
FRE2,,,,,,,,,,,,,,,,,,0.08571428571428572,0.08955223880597013,0.0964765100671141,0.07834757834757834,0.10061919504643962,0.10061919504643962,0.09915014164305949,,,,,,,0.09019180028928454,0.008618178705686461
FRF1,,,,,,,,,,,,,,,,,,0.004081632653061224,0.003731343283582089,0.003355704697986577,0.0021367521367521365,0.0023219814241486063,0.0023219814241486063,0.002124645892351275,,,,,,,0.0027833543287047306,0.0008306315372032379
FRF2,,,,,,,,,,,,,,,,,,0.005442176870748299,0.01044776119402985,0.014261744966442955,0.013532763532763533,0.01547987616099071,0.01547987616099071,0.0113314447592068,,,,,,,0.011920901915020581,0.003582080185817243
