region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,,,,,,,,,,,,,,,,,,,0.7728486342164715,0.7786818551668023,0.7890972356466267,0.7994949494949496,0.7863777089783281,0.7620276930298052,0.7528117970507374,0.7434934263482693,0.7658446646692787,0.7749891821722198,0.7725667146773489,0.017075792112369183
AT2,,,,,,,,,,,,,,,,,,,,,0.05976586568083795,0.05410903173311636,0.05142083897158322,0.04595959595959596,0.053405572755417956,0.06477352734099977,0.06473381654586353,0.07217601287899114,0.06453099792578935,0.05560363479013414,0.05864788945823294,0.007916274083874426
AT3,,,,,,,,,,,,,,,,,,,,,0.1673855001026905,0.16720911310008138,0.15948192538179004,0.15454545454545454,0.16021671826625386,0.17319877962919503,0.18245438640339914,0.18433056077273946,0.16962433740493205,0.16940718303764604,0.16878539586441818,0.009523415329835038
BE2,,,,,,,,,,,,,,,,,,,,,,,0.4,0.5,0.5128205128205129,0.48214285714285715,0.3965517241379311,0.3529411764705882,0.42622950819672134,0.4935064935064935,0.44552403403438806,0.05922631003324383
BE3,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,0.48717948717948717,0.5178571428571428,0.603448275862069,0.6470588235294118,0.5737704918032787,0.5064935064935066,0.554475965965612,0.05922631003324382
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,,,,,,,,,,,0.016955647092633388,0.015823817292006524,0.019638315908448712,0.01633694958519464,0.015900779138177775,0.016585365853658534,0.01631006664328306,0.015284249767008387,0.015894293374186137,0.014786849142677362,0.01635163337972746,0.0013124432526238558
DE2,,,,,,,,,,,,,,,,,,,,,0.0644697767985439,0.06411092985318108,0.06965244419327493,0.06866624122527121,0.06598823342343776,0.05756097560975609,0.062083479480883906,0.06244175209692451,0.06836461126005362,0.061192386345760574,0.06445308302870877,0.003805725313392495
DE4,,,,,,,,,,,,,,,,,,,,,0.3170801800938786,0.3163132137030995,0.2972591127437129,0.30236119974473513,0.2938463984735253,0.3040650406504065,0.308312872676254,0.2989748369058714,0.302757564151666,0.2908604687745792,0.3031830887917729,0.008726091449043898
DE7,,,,,,,,,,,,,,,,,,,,,0.022799118689529642,0.02300163132137031,0.025572195535461993,0.02514358647096362,0.024169184290030215,0.022601626016260163,0.025955804980708527,0.025349487418452936,0.023554193795480658,0.025326411829479315,0.024347324034773743,0.001273690131432614
DE8,,,,,,,,,,,,,,,,,,,,,0.10024906600249063,0.11500815660685156,0.11613450127154562,0.11767708998085512,0.10176498648433775,0.09902439024390243,0.09750964573833744,0.0984156570363467,0.09689774032937572,0.10618216139688531,0.10488633950909285,0.008299715091249191
DE9,,,,,,,,,,,,,,,,,,,,,0.19251524730976782,0.18499184339314845,0.18833003673354054,0.19323548181238032,0.21466051836539995,0.21967479674796747,0.2129077516660821,0.22162162162162163,0.20662581386441975,0.20921818467830736,0.20437812961926358,0.013484732871153638
DEA,,,,,,,,,,,,,,,,,,,,,0.025704888718587345,0.02871125611745514,0.025713478383724214,0.027823867262284616,0.028939418031483546,0.026991869918699188,0.029112592072956862,0.031500465983224604,0.03427805438529299,0.038697498820198205,0.029747338969390667,0.004078958115257451
DEB,,,,,,,,,,,,,,,,,,,,,0.017945524794839858,0.017781402936378466,0.018225487425826505,0.019527760051052966,0.017013833677850216,0.016422764227642276,0.015608558400561209,0.014538676607642124,0.017043278437380315,0.01557338367154318,0.016968067023071715,0.0014813853534502322
DEC,,,,,,,,,,,,,,,,,,,,,0.005572053517258996,0.0052202283849918435,0.005227465385702176,0.004594767070835992,0.0046112259500715545,0.004715447154471544,0.005261311820413891,0.005032618825722274,0.004787437763309077,0.004561900267421739,0.004958445614019909,0.0003516642726651501
