region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.9827586206896551,0.983606557377049,0.9873015873015873,0.9859943977591037,0.9872773536895675,0.9790209790209791,0.9738219895287958,0.9798994974874371,0.9819004524886877,0.9793388429752066,0.9775784753363229,0.9655172413793104,0.9579439252336449,0.9610894941634242,0.9517241379310344,0.9435215946843855,0.9248554913294798,0.9242424242424242,0.9402985074626865,0.9498069498069498,0.9523809523809524,0.9612432847275518,0.9597602739726027,0.9601100412654745,0.9610516066212268,0.9648478488982163,0.9620670698185816,0.9641235240690282,0.9600185960018596,0.959529411764706,0.9640877043135977,0.016956316252392863
AT2,0.004310344827586207,0.004098360655737705,0.006349206349206349,0.0056022408963585435,0.005089058524173028,0.013986013986013988,0.015706806282722512,0.015075376884422108,0.013574660633484162,0.012396694214876033,0.013452914798206277,0.014778325123152709,0.023364485981308414,0.019455252918287938,0.02068965517241379,0.023255813953488372,0.020231213872832367,0.022727272727272728,0.022388059701492536,0.019305019305019305,0.01574183392365211,0.015349194167306218,0.01583904109589041,0.01696469509399358,0.02044790652385589,0.01993704092339979,0.022539857064321052,0.022706630336058128,0.026034402603440265,0.02164705882352941,0.0164348145787834,0.006263000935733479
AT3,0.012931034482758619,0.012295081967213113,0.006349206349206349,0.008403361344537815,0.0076335877862595426,0.006993006993006994,0.010471204188481676,0.005025125628140704,0.004524886877828054,0.008264462809917356,0.008968609865470852,0.019704433497536946,0.01869158878504673,0.019455252918287938,0.027586206896551724,0.03322259136212625,0.054913294797687855,0.05303030303030303,0.03731343283582089,0.03088803088803089,0.03187721369539552,0.02340752110514198,0.024400684931506843,0.022925263640531865,0.018500486854917234,0.015215110178384051,0.015393073117097306,0.013169845594913715,0.01394700139470014,0.018823529411764708,0.01947748110761889,0.012908685301963211
BE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
