region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,,,,,,,,,,,,,,,,,,,0.5184100418410043,0.503180522044308,0.5033142857142857,0.5022222222222222,0.5145195868251802,0.5255909175507165,0.5402696793002916,0.5503258508327299,0.5566337332392378,0.5827482447342025,0.5297215084304179,0.02709241597758261
AT2,,,,,,,,,,,,,,,,,,,,,0.1269874476987448,0.1309497696863347,0.13714285714285715,0.1348888888888889,0.15649970765932564,0.165643029964638,0.1528790087463557,0.14156408399710357,0.14008468595624557,0.13523905048478768,0.14218785302252818,0.012285706579347933
AT3,,,,,,,,,,,,,,,,,,,,,0.35460251046025104,0.3658697082693573,0.35954285714285716,0.36288888888888887,0.328980705515494,0.30876605248464545,0.3068513119533528,0.3081100651701666,0.30328158080451656,0.2820127047810097,0.328090638547054,0.030356268291758432
BE2,,,,,,,,,,,,,,,,,,,,,,0.6,0.5666666666666667,0.4426229508196722,0.435626102292769,0.4510869565217392,0.4013377926421404,0.3858695652173913,0.34054054054054056,0.32666666666666666,0.43893524904084286,0.09283363575370901
BE3,,,,,,,,,,,,,,,,,,,,,,0.4,0.43333333333333335,0.5573770491803279,0.5643738977072311,0.5489130434782609,0.5986622073578595,0.6141304347826088,0.6594594594594595,0.6733333333333333,0.5610647509591572,0.09283363575370902
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,,,,,,,,,,,0.05494173608839,0.05922254109052961,0.05307112068965517,0.06172839506172839,0.05524994020569242,0.05303784860557769,0.05732323232323233,0.05655526992287919,0.058445190156599554,0.06173184357541899,0.057130711771970336,0.0031682738236365362
DE2,,,,,,,,,,,,,,,,,,,,,0.19062240455037374,0.21654056874510827,0.21417025862068967,0.20660115898211134,0.2154986845252332,0.18899402390438247,0.18813131313131315,0.20437017994858614,0.20274049217002238,0.17988826815642456,0.20075573527342452,0.013053253616370792
DE4,,,,,,,,,,,,,,,,,,,,,0.12070571061837768,0.1106183146360553,0.10398706896551725,0.09322247417485512,0.10547715857450371,0.10408366533864541,0.10404040404040406,0.09742930591259641,0.09619686800894856,0.09860335195530724,0.10343643222252108,0.007966871191376696
DE7,,,,,,,,,,,,,,,,,,,,,0.0428359298316261,0.04200365249152101,0.040140086206896554,0.04459561602418745,0.04376943314996412,0.0475597609561753,0.04570707070707072,0.04781491002570695,0.04893736017897092,0.05726256983240222,0.046062638940452136,0.004813353345066082
DE8,,,,,,,,,,,,,,,,,,,,,0.038406362469483805,0.03991651447951996,0.030711206896551727,0.02494331065759637,0.026070318105716334,0.028137450199203187,0.030050505050505057,0.03419023136246787,0.039149888143176735,0.043854748603351944,0.03354305359675729,0.006512333742196687
DE9,,,,,,,,,,,,,,,,,,,,,0.1988020033725115,0.174015131750587,0.1831896551724138,0.18820861678004533,0.19014589811049987,0.20617529880478086,0.20530303030303032,0.2007712082262211,0.18680089485458615,0.1832402234636871,0.1916651960838363,0.010659604121265443
DEA,,,,,,,,,,,,,,,,,,,,,0.14406161125512798,0.14714322984607356,0.15113146551724138,0.17057193247669436,0.16814159292035397,0.17629482071713146,0.17323232323232324,0.16966580976863754,0.16778523489932887,0.16256983240223463,0.1630597853035147,0.011468146555698734
DEB,,,,,,,,,,,,,,,,,,,,,0.04306244179900838,0.04226454474302113,0.04822198275862069,0.050642479213907785,0.0413776608466874,0.040836653386454175,0.04318181818181819,0.04113110539845759,0.0447427293064877,0.04832402234636871,0.04437854379808318,0.0034870833563825153
DEC,,,,,,,,,,,,,,,,,,,,,0.006166159112073089,0.006000521784503,0.005926724137931035,0.006298815822625346,0.006457785218847166,0.006225099601593625,0.006313131313131314,0.005655526992287919,0.006431767337807606,0.005865921787709496,0.006134145310850959,0.00026324254487930185
DED,,,,,,,,,,,,,,,,,,,,,0.05891827951576775,0.057918079833028956,0.06088362068965518,0.05542957923910304,0.05620664912700311,0.05303784860557769,0.04621212121212122,0.04575835475578407,0.05005592841163311,0.04832402234636871,0.053274448373604275,0.0054349459057704
DEE,,,,,,,,,,,,,,,,,,,,,0.04975712883497345,0.05113488129402557,0.053609913793103446,0.04560342655580751,0.045682850992585504,0.044322709163346616,0.046464646464646465,0.04550128534704371,0.0517337807606264,0.051117318435754185,0.04849279416419129,0.0033141538963933404
DEF,,,,,,,,,,,,,,,,,,,,,0.01603201369139003,0.015131750587007565,0.015355603448275863,0.014613252708490803,0.012437215977038986,0.018675298804780874,0.021464646464646468,0.021079691516709513,0.01649888143176734,0.022905027932960887,0.017419338256306833,0.0034382256412830033
DEG,,,,,,,,,,,,,,,,,,,,,0.03568821886089649,0.03809026871901904,0.03960129310344827,0.03754094230284706,0.03348481224587419,0.032619521912350596,0.032575757575757584,0.03007712082262211,0.030480984340044745,0.03631284916201117,0.034647176904487126,0.0032766189660636182
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
