region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,0.7473684210526316,0.745945945945946,0.7388888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9982857142857142,0.9947780678851175,0.9957865168539326,0.9935275080906149,0.9907407407407407,0.9842767295597484,0.9883870967741936,0.9908256880733944,0.9853947968963943,0.9790419161676646,0.935626066956266,0.07958431390430966
AT2,,,0.16842105263157894,0.16216216216216217,0.1722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005714285714285715,0.0013054830287206266,0.0007022471910112359,0.0024271844660194177,0.004985754985754986,0.007337526205450734,0.006021505376344087,0.003931847968545216,0.00730260155180283,0.010778443113772454,0.0407127129233022,0.07159867783450179
AT3,,,0.08421052631578947,0.09189189189189188,0.08888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001142857142857143,0.0039164490861618795,0.00351123595505618,0.004045307443365696,0.004273504273504273,0.008385744234800837,0.005591397849462366,0.005242463958060288,0.00730260155180283,0.010179640718562873,0.02366122012043168,0.036490975356939015
BE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,0.13846153846153847,0.14655172413793102,0.09166666666666666,,,0.1020408163265306,0.06756756756756757,0.07228915662650603,,,,,,,,,,,,,,,,0.09986083561502761,0.033112521660062615
DE2,,,,,,,,0.21538461538461537,0.31034482758620685,0.32499999999999996,,,0.18367346938775508,0.1891891891891892,0.15662650602409642,,,,,,,,,,,,,,,,0.22281733528227923,0.07055385483199274
DE4,,,,,,,,0.0,0.008620689655172414,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.008350151577684845,
DE7,,,,,,,,0.10769230769230768,0.1293103448275862,0.11666666666666664,,,0.1020408163265306,0.06756756756756757,0.04819277108433736,,,,,,,,,,,,,,,,0.09225605824135019,0.030985179106396536
DE8,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
DE9,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
DEA,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
DEB,,,,,,,,0.07692307692307693,0.13793103448275862,0.15,,,0.18367346938775508,0.16216216216216217,0.15662650602409642,,,,,,,,,,,,,,,,0.14001629479890193,0.03642414033598199
DEC,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.01204819277108434,,,,,,,,,,,,,,,,0.01167009136158364,
DED,,,,,,,,0.07692307692307693,0.043103448275862065,0.04166666666666666,,,0.02040816326530612,0.0,0.0,,,,,,,,,,,,,,,,0.044096643617503,0.023362686563759567
DEE,,,,,,,,0.23076923076923078,0.11206896551724137,0.16666666666666663,,,0.2653061224489796,0.2702702702702703,0.3493975903614458,,,,,,,,,,,,,,,,0.22511945490097954,0.08367615402051536
DEF,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
DEG,,,,,,,,0.15384615384615385,0.11206896551724137,0.10833333333333332,,,0.14285714285714285,0.24324324324324326,0.20481927710843376,,,,,,,,,,,,,,,,0.15581313460468993,0.053352281039105096
