,region,region name,year,category,value,label,unit,confidence
0,AL,Albania,1990,pulses,0.5808469333333334,symbiotic fixation,Gg N,estimated
1,AL,Albania,1990,temporary grassland,0,symbiotic fixation,Gg N,estimated
2,AL,Albania,1990,forage legumes,0,symbiotic fixation,Gg N,estimated
3,AL,Albania,1990,soy,0.46524493150684926,symbiotic fixation,Gg N,estimated
4,AL,Albania,1991,pulses,0.5393578666666666,symbiotic fixation,Gg N,estimated
5,AL,Albania,1991,temporary grassland,0,symbiotic fixation,Gg N,estimated
6,AL,Albania,1991,forage legumes,0,symbiotic fixation,Gg N,estimated
7,AL,Albania,1991,soy,0.1993906849315068,symbiotic fixation,Gg N,estimated
8,AL,Albania,1992,pulses,1.0372266666666667,symbiotic fixation,Gg N,estimated
9,AL,Albania,1992,temporary grassland,0,symbiotic fixation,Gg N,estimated
10,AL,Albania,1992,forage legumes,0,symbiotic fixation,Gg N,estimated
11,AL,Albania,1992,soy,0.13292712328767123,symbiotic fixation,Gg N,estimated
12,AL,Albania,1993,pulses,0.9542485333333336,symbiotic fixation,Gg N,estimated
13,AL,Albania,1993,temporary grassland,0,symbiotic fixation,Gg N,estimated
14,AL,Albania,1993,forage legumes,0,symbiotic fixation,Gg N,estimated
15,AL,Albania,1993,soy,0.06646356164383561,symbiotic fixation,Gg N,estimated
16,AL,Albania,1994,pulses,0.7468032000000001,symbiotic fixation,Gg N,estimated
17,AL,Albania,1994,temporary grassland,0,symbiotic fixation,Gg N,estimated
18,AL,Albania,1994,forage legumes,0,symbiotic fixation,Gg N,estimated
19,AL,Albania,1994,soy,0.006646356164383561,symbiotic fixation,Gg N,estimated
20,AL,Albania,1995,pulses,1.0372266666666667,symbiotic fixation,Gg N,estimated
21,AL,Albania,1995,temporary grassland,0,symbiotic fixation,Gg N,estimated
22,AL,Albania,1995,forage legumes,0,symbiotic fixation,Gg N,estimated
23,AL,Albania,1995,soy,0.013292712328767123,symbiotic fixation,Gg N,estimated
24,AL,Albania,1996,pulses,1.0372266666666667,symbiotic fixation,Gg N,estimated
25,AL,Albania,1996,temporary grassland,0,symbiotic fixation,Gg N,estimated
26,AL,Albania,1996,forage legumes,0,symbiotic fixation,Gg N,estimated
27,AL,Albania,1996,soy,0.019939068493150684,symbiotic fixation,Gg N,estimated
28,AL,Albania,1997,pulses,0.8297813333333335,symbiotic fixation,Gg N,estimated
29,AL,Albania,1997,temporary grassland,0,symbiotic fixation,Gg N,estimated
30,AL,Albania,1997,forage legumes,0,symbiotic fixation,Gg N,estimated
31,AL,Albania,1997,soy,0.013292712328767123,symbiotic fixation,Gg N,estimated
32,AL,Albania,1998,pulses,0.9418018133333335,symbiotic fixation,Gg N,estimated
33,AL,Albania,1998,temporary grassland,0,symbiotic fixation,Gg N,estimated
34,AL,Albania,1998,forage legumes,0,symbiotic fixation,Gg N,estimated
35,AL,Albania,1998,soy,0.006646356164383561,symbiotic fixation,Gg N,estimated
36,AL,Albania,1999,pulses,1.0787157333333333,symbiotic fixation,Gg N,estimated
37,AL,Albania,1999,temporary grassland,0,symbiotic fixation,Gg N,estimated
38,AL,Albania,1999,forage legumes,0,symbiotic fixation,Gg N,estimated
39,AL,Albania,1999,soy,0.07975627397260274,symbiotic fixation,Gg N,estimated
40,AL,Albania,2000,pulses,1.04552448,symbiotic fixation,Gg N,estimated
