,region,region name,year,symbol,label,unit,value,confidence
0,AL,Albania,1990,Q,total quantity of synthetic N fertilizer applied,Gg N,73.5,filled (b)
1,AL,Albania,1990,Q_AL,quantity applied on arable land,Gg N,60.78316406105061,Estimated
2,AL,Albania,1990,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
3,AL,Albania,1990,Q_PC,quantity applied on permanent crops,Gg N,12.716835938949385,Estimated
4,AL,Albania,1991,Q,total quantity of synthetic N fertilizer applied,Gg N,22.3,filled (b)
5,AL,Albania,1991,Q_AL,quantity applied on arable land,Gg N,17.31842710666971,Estimated
6,AL,Albania,1991,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
7,AL,Albania,1991,Q_PC,quantity applied on permanent crops,Gg N,4.98157289333029,Estimated
8,AL,Albania,1992,Q,total quantity of synthetic N fertilizer applied,Gg N,14.8,filled (b)
9,AL,Albania,1992,Q_AL,quantity applied on arable land,Gg N,11.407428746885401,Estimated
10,AL,Albania,1992,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
11,AL,Albania,1992,Q_PC,quantity applied on permanent crops,Gg N,3.3925712531145997,Estimated
12,AL,Albania,1993,Q,total quantity of synthetic N fertilizer applied,Gg N,15.22,filled (b)
13,AL,Albania,1993,Q_AL,quantity applied on arable land,Gg N,11.789032264937822,Estimated
14,AL,Albania,1993,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
15,AL,Albania,1993,Q_PC,quantity applied on permanent crops,Gg N,3.430967735062179,Estimated
16,AL,Albania,1994,Q,total quantity of synthetic N fertilizer applied,Gg N,12.68,filled (b)
17,AL,Albania,1994,Q_AL,quantity applied on arable land,Gg N,9.859339372686447,Estimated
18,AL,Albania,1994,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
19,AL,Albania,1994,Q_PC,quantity applied on permanent crops,Gg N,2.820660627313553,Estimated
20,AL,Albania,1995,Q,total quantity of synthetic N fertilizer applied,Gg N,10.0,filled (b)
21,AL,Albania,1995,Q_AL,quantity applied on arable land,Gg N,7.7031681029857815,Estimated
22,AL,Albania,1995,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
23,AL,Albania,1995,Q_PC,quantity applied on permanent crops,Gg N,2.2968318970142185,Estimated
24,AL,Albania,1996,Q,total quantity of synthetic N fertilizer applied,Gg N,5.5,filled (b)
25,AL,Albania,1996,Q_AL,quantity applied on arable land,Gg N,4.212715978525273,Estimated
26,AL,Albania,1996,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
27,AL,Albania,1996,Q_PC,quantity applied on permanent crops,Gg N,1.2872840214747276,Estimated
28,AL,Albania,1997,Q,total quantity of synthetic N fertilizer applied,Gg N,4.2,filled (b)
29,AL,Albania,1997,Q_AL,quantity applied on arable land,Gg N,3.23469241989963,Estimated
30,AL,Albania,1997,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
31,AL,Albania,1997,Q_PC,quantity applied on permanent crops,Gg N,0.96530758010037,Estimated
32,AL,Albania,1998,Q,total quantity of synthetic N fertilizer applied,Gg N,18.0,filled (b)
33,AL,Albania,1998,Q_AL,quantity applied on arable land,Gg N,13.795583654131736,Estimated
34,AL,Albania,1998,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
35,AL,Albania,1998,Q_PC,quantity applied on permanent crops,Gg N,4.204416345868263,Estimated
36,AL,Albania,1999,Q,total quantity of synthetic N fertilizer applied,Gg N,5.8,filled (b)
37,AL,Albania,1999,Q_AL,quantity applied on arable land,Gg N,4.295114227403006,Estimated
38,AL,Albania,1999,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
39,AL,Albania,1999,Q_PC,quantity applied on permanent crops,Gg N,1.5048857725969942,Estimated
40,AL,Albania,2000,Q,total quantity of synthetic N fertilizer applied,Gg N,13.943,unprocessed
41,AL,Albania,2000,Q_AL,quantity applied on arable land,Gg N,10.328508577923149,Estimated
42,AL,Albania,2000,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
43,AL,Albania,2000,Q_PC,quantity applied on permanent crops,Gg N,3.614491422076851,Estimated
44,AL,Albania,2001,Q,total quantity of synthetic N fertilizer applied,Gg N,18.131,unprocessed
45,AL,Albania,2001,Q_AL,quantity applied on arable land,Gg N,13.340660850875718,Estimated
46,AL,Albania,2001,Q_PG,quantity applied on permanent grassland,Gg N,0.0,Estimated
47,AL,Albania,2001,Q_PC,quantity applied on permanent crops,Gg N,4.790339149124282,Estimated
48,AL,Albania,2002,Q,total quantity of synthetic N fertilizer applied,Gg N,18.187,unprocessed
49,AL,Albania,2002,Q_AL,quantity applied on arable land,Gg N,13.693875359620472,Estimated
