,region,region name,year,symbol,label,unit,value
0,AL,Albania,1990,typ,metabolic typology,no unit,LVK
1,AL,Albania,1990,urb_typ,urban typology,no unit,URB
2,AL,Albania,1991,typ,metabolic typology,no unit,LVK
3,AL,Albania,1991,urb_typ,urban typology,no unit,URB
4,AL,Albania,1992,typ,metabolic typology,no unit,LVK
5,AL,Albania,1992,urb_typ,urban typology,no unit,URB
6,AL,Albania,1993,typ,metabolic typology,no unit,LVK
7,AL,Albania,1993,urb_typ,urban typology,no unit,URB
8,AL,Albania,1994,typ,metabolic typology,no unit,LVK
9,AL,Albania,1994,urb_typ,urban typology,no unit,URB
10,AL,Albania,1995,typ,metabolic typology,no unit,LVK
11,AL,Albania,1995,urb_typ,urban typology,no unit,URB
12,AL,Albania,1996,typ,metabolic typology,no unit,LVK
13,AL,Albania,1996,urb_typ,urban typology,no unit,URB
14,AL,Albania,1997,typ,metabolic typology,no unit,LVK
15,AL,Albania,1997,urb_typ,urban typology,no unit,URB
16,AL,Albania,1998,typ,metabolic typology,no unit,LVK
17,AL,Albania,1998,urb_typ,urban typology,no unit,URB
18,AL,Albania,1999,typ,metabolic typology,no unit,LVK
19,AL,Albania,1999,urb_typ,urban typology,no unit,URB
20,AL,Albania,2000,typ,metabolic typology,no unit,LVK
21,AL,Albania,2000,urb_typ,urban typology,no unit,URB
22,AL,Albania,2001,typ,metabolic typology,no unit,LVK
23,AL,Albania,2001,urb_typ,urban typology,no unit,URB
24,AL,Albania,2002,typ,metabolic typology,no unit,LVK
25,AL,Albania,2002,urb_typ,urban typology,no unit,URB
26,AL,Albania,2003,typ,metabolic typology,no unit,LVK
27,AL,Albania,2003,urb_typ,urban typology,no unit,URB
28,AL,Albania,2004,typ,metabolic typology,no unit,LVK
29,AL,Albania,2004,urb_typ,urban typology,no unit,URB
30,AL,Albania,2005,typ,metabolic typology,no unit,LVK
31,AL,Albania,2005,urb_typ,urban typology,no unit,URB
32,AL,Albania,2006,typ,metabolic typology,no unit,LVK
33,AL,Albania,2006,urb_typ,urban typology,no unit,URB
34,AL,Albania,2007,typ,metabolic typology,no unit,LVK
35,AL,Albania,2007,urb_typ,urban typology,no unit,URB
36,AL,Albania,2008,typ,metabolic typology,no unit,LVK
37,AL,Albania,2008,urb_typ,urban typology,no unit,URB
38,AL,Albania,2009,typ,metabolic typology,no unit,LVK
39,AL,Albania,2009,urb_typ,urban typology,no unit,URB
40,AL,Albania,2010,typ,metabolic typology,no unit,LVK
41,AL,Albania,2010,urb_typ,urban typology,no unit,URB
42,AL,Albania,2011,typ,metabolic typology,no unit,LVK
43,AL,Albania,2011,urb_typ,urban typology,no unit,URB
44,AL,Albania,2012,typ,metabolic typology,no unit,LVK
45,AL,Albania,2012,urb_typ,urban typology,no unit,URB
